train.size,percent.correct.labels,auc,percent.correct.intervals
2,85.3125,0.965090702947846,35
4,92.5,0.987562358276644,50
6,92.5,0.98672335600907,50
8,87.1875,0.985022675736962,45
10,92.5,0.986746031746032,50
12,92.5,0.987471655328798,50
14,93.4375,0.988333333333333,55
16,93.75,0.988333333333333,60
18,93.75,0.988582766439909,60
20,93.75,0.988854875283447,60
25,93.75,0.988605442176871,60
30,93.75,0.988333333333333,60
35,93.4375,0.988197278911565,55
40,93.75,0.988174603174603,60
45,93.4375,0.988151927437642,55
50,93.4375,0.988061224489796,55
55,91.875,0.987902494331066,50
60,92.5,0.988083900226757,50
65,92.5,0.988015873015873,50
70,92.5,0.987902494331066,50
