train.size,percent.correct.labels,auc,percent.correct.intervals
2,87.8125,0.988650793650794,40
4,83.125,0.988650793650794,30
6,87.1875,0.988650793650794,35
8,87.5,0.988650793650794,35
10,92.5,0.988650793650794,50
12,90.3125,0.988650793650794,50
14,90.3125,0.988650793650794,50
16,90.3125,0.988650793650794,50
18,93.4375,0.988650793650794,55
20,91.875,0.988650793650794,50
25,93.4375,0.988650793650794,55
30,92.5,0.988650793650794,50
35,93.125,0.988650793650794,50
40,93.4375,0.988650793650794,55
45,93.4375,0.988650793650794,55
50,93.4375,0.988650793650794,55
55,93.4375,0.988650793650794,55
60,93.75,0.988650793650794,60
65,93.75,0.988650793650794,60
70,93.75,0.988650793650794,60
