train.size,percent.correct.labels,auc,percent.correct.intervals
2,23.4375,0.988922902494331,0
4,23.4375,0.988922902494331,0
6,23.4375,0.988922902494331,0
8,23.4375,0.988922902494331,0
10,23.4375,0.988922902494331,0
12,23.4375,0.988922902494331,0
14,23.4375,0.988922902494331,0
16,23.4375,0.988922902494331,0
18,23.4375,0.988922902494331,0
20,23.4375,0.988922902494331,0
25,23.4375,0.988922902494331,0
30,23.4375,0.988922902494331,0
35,23.4375,0.988922902494331,0
40,23.4375,0.988922902494331,0
45,23.4375,0.988922902494331,0
50,23.4375,0.988922902494331,0
55,23.4375,0.988922902494331,0
60,23.4375,0.988922902494331,0
65,23.4375,0.988922902494331,0
70,23.4375,0.988922902494331,0
