train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,,,
6,,,
8,,,
10,,,
12,,,
14,91.6788321167883,0.967261059012977,91
16,92.4087591240876,0.96756891162262,91.6666666666667
18,91.5328467153285,0.96363787060718,90.6666666666667
20,91.970802919708,0.966467746518897,91.1666666666667
25,95.036496350365,0.973607558965615,94.6666666666667
30,94.8905109489051,0.972648479681728,94.6666666666667
35,94.8905109489051,0.967130813678128,94.8333333333333
40,95.1824817518248,0.978059581320451,94.8333333333333
45,94.4525547445255,0.975987496447854,94.1666666666667
50,94.8905109489051,0.976828170881879,94.5
55,94.4525547445255,0.975040257648953,94.1666666666667
60,95.7664233576642,0.972470872406934,95.8333333333333
65,90.0729927007299,0.958333333333333,89.6666666666667
70,94.7445255474453,0.978249029080231,94.6666666666667
75,93.2846715328467,0.973335227810931,93
80,93.5766423357664,0.974578478734489,93.3333333333333
85,95.036496350365,0.979160746424174,94.8333333333333
90,94.1605839416058,0.975158662498816,94
95,94.1605839416058,0.975963815477882,94
100,95.3284671532847,0.979089703514256,95.1666666666667
200,94.7445255474453,0.941673770957659,94.6666666666667
300,96.4963503649635,0.977633323860945,96.5
400,96.4963503649635,0.976674244577058,96.5
500,96.4963503649635,0.977526759496069,96.5
600,96.2043795620438,0.976863692336838,96.1666666666667
700,96.3503649635037,0.976532158757223,96.3333333333333
800,96.3503649635037,0.977432035616179,96.3333333333333
900,96.3503649635037,0.97720706640144,96.3333333333333
1000,96.2043795620438,0.975904613052951,96.1666666666667
3130,96.2043795620438,0.978971298664393,96.1666666666667
