train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,,,
6,,,
8,89.4890510948905,0.88983612768779,90
10,89.4890510948905,0.888237662214644,90
12,90.2189781021898,0.898006062328313,90.5
14,90.2189781021898,0.897863976508478,90.5
16,90.2189781021898,0.897816614568533,90.5
18,90.2189781021898,0.897828455053519,90.5
20,90.2189781021898,0.898195510088093,90.5
25,91.3868613138686,0.915174765558397,91.5
30,92.7007299270073,0.939980581604623,92.6666666666667
35,92.7007299270073,0.954721985412523,92.6666666666667
40,92.7007299270073,0.95469830444255,92.6666666666667
45,92.2627737226277,0.966858482523444,91.6666666666667
50,92.1167883211679,0.966740077673581,91.5
55,93.8686131386861,0.975940134507909,93.5
60,92.8467153284672,0.970529032869186,92.3333333333333
65,94.3065693430657,0.975963815477882,94
70,94.3065693430657,0.975490196078431,94
75,95.036496350365,0.975123141043857,94.8333333333333
80,95.036496350365,0.974495595339585,94.8333333333333
85,95.036496350365,0.974329828549777,95
90,95.7664233576642,0.963602349152221,96
95,95.7664233576642,0.963519465757317,96
100,95.4744525547445,0.962678791323293,95.6666666666667
200,96.0583941605839,0.966053329544378,96.1666666666667
300,96.6423357664234,0.976780808941934,96.5
400,96.4963503649635,0.977550440466042,96.3333333333333
500,96.2043795620438,0.97660320166714,96.1666666666667
600,96.2043795620438,0.98015534716302,96
700,96.3503649635037,0.979587003883679,96.1666666666667
800,96.3503649635037,0.9781898266553,96.1666666666667
900,96.0583941605839,0.977657004830918,96
1000,96.2043795620438,0.978485838779956,96.1666666666667
3130,95.9124087591241,0.97800037889552,96
