train.size,percent.correct.labels,auc,percent.correct.intervals
2,77.2727272727273,0.996212121212121,63.6363636363636
4,4.54545454545455,0.996212121212121,0
6,86.3636363636364,1,72.7272727272727
8,77.2727272727273,1,54.5454545454545
10,81.8181818181818,1,63.6363636363636
12,81.8181818181818,1,63.6363636363636
14,86.3636363636364,1,72.7272727272727
16,86.3636363636364,1,72.7272727272727
18,95.4545454545454,1,90.9090909090909
20,95.4545454545454,1,90.9090909090909
25,95.4545454545454,1,90.9090909090909
30,95.4545454545454,1,90.9090909090909
35,95.4545454545454,1,90.9090909090909
40,95.4545454545454,1,90.9090909090909
45,95.4545454545454,1,90.9090909090909
50,95.4545454545454,1,90.9090909090909
55,95.4545454545454,1,90.9090909090909
60,95.4545454545454,1,90.9090909090909
65,95.4545454545454,1,90.9090909090909
70,100,1,100
75,100,1,100
80,100,1,100
85,100,1,100
90,100,1,100
95,100,1,100
100,100,1,100
200,100,1,100
300,100,1,100
400,100,1,100
500,100,1,100
600,100,1,100
700,100,1,100
800,100,1,100
900,100,1,100
1000,100,1,100
3719,100,1,100
