train.size,percent.correct.labels,auc,percent.correct.intervals
2,85.7142857142857,1,85.7142857142857
4,85.7142857142857,1,85.7142857142857
6,85.7142857142857,1,85.7142857142857
8,85.7142857142857,1,85.7142857142857
10,85.7142857142857,1,85.7142857142857
12,85.7142857142857,1,85.7142857142857
14,85.7142857142857,1,85.7142857142857
16,85.7142857142857,1,85.7142857142857
18,85.7142857142857,1,85.7142857142857
20,85.7142857142857,1,85.7142857142857
25,85.7142857142857,1,85.7142857142857
30,85.7142857142857,1,85.7142857142857
35,85.7142857142857,1,85.7142857142857
40,85.7142857142857,1,85.7142857142857
45,85.7142857142857,1,85.7142857142857
50,85.7142857142857,1,85.7142857142857
55,85.7142857142857,1,85.7142857142857
60,85.7142857142857,1,85.7142857142857
65,85.7142857142857,1,85.7142857142857
70,85.7142857142857,1,85.7142857142857
75,85.7142857142857,1,85.7142857142857
80,85.7142857142857,1,85.7142857142857
85,85.7142857142857,1,85.7142857142857
90,85.7142857142857,1,85.7142857142857
95,85.7142857142857,1,85.7142857142857
100,85.7142857142857,1,85.7142857142857
200,85.7142857142857,1,85.7142857142857
300,85.7142857142857,1,85.7142857142857
400,85.7142857142857,1,85.7142857142857
500,85.7142857142857,1,85.7142857142857
600,85.7142857142857,1,85.7142857142857
700,85.7142857142857,1,85.7142857142857
800,85.7142857142857,1,85.7142857142857
900,85.7142857142857,1,85.7142857142857
1000,85.7142857142857,1,85.7142857142857
3688,85.7142857142857,1,85.7142857142857
