train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,,,
6,,,
8,,,
10,,,
12,,,
14,,,
16,,,
18,,,
20,,,
25,96.8365553602812,0.990850722311396,96.8365553602812
30,94.5518453427065,0.970144462279294,94.5518453427065
35,94.9033391915641,0.97597645799893,94.9033391915642
40,96.6608084358524,0.985072231139647,96.6608084358524
45,96.6608084358524,0.980042803638309,96.6608084358524
50,95.4305799648506,0.976565008025682,95.4305799648506
55,97.1880492091388,0.986142322097378,97.1880492091388
60,98.066783831283,0.99266987693954,98.066783831283
65,98.066783831283,0.993258426966292,98.066783831283
70,98.066783831283,0.992402354200107,98.066783831283
75,96.4850615114236,0.981915462814339,96.4850615114236
80,97.01230228471,0.992562867843767,97.01230228471
85,98.2425307557118,0.994007490636704,98.2425307557118
90,95.079086115993,0.96286784376672,95.079086115993
95,96.6608084358524,0.983039058319957,96.6608084358524
100,96.8365553602812,0.98346709470305,96.8365553602812
200,96.4850615114236,0.995024077046549,96.4850615114236
300,98.2425307557118,0.990850722311396,98.2425307557118
400,97.7152899824253,0.991439272338149,97.7152899824253
500,97.8910369068541,0.99266987693954,97.8910369068542
600,98.066783831283,0.992616372391653,98.066783831283
700,97.8910369068541,0.992990904226859,97.8910369068542
800,97.5395430579965,0.990904226859283,97.5395430579965
900,98.4182776801406,0.995559122525415,98.4182776801406
1000,98.066783831283,0.99250936329588,98.066783831283
2849,97.8910369068541,0.995666131621188,97.8910369068542
