train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,,,
6,,,
8,,,
10,,,
12,,,
14,95.1048951048951,0.985352809706258,95.1048951048951
16,96.6783216783217,0.992676404853129,96.6783216783217
18,96.3286713286713,0.989563378033206,96.3286713286713
20,96.1538461538462,0.990720785440613,96.1538461538462
25,95.6293706293706,0.984255268199234,95.6293706293706
30,96.3286713286713,0.989922573435505,96.1538461538462
35,96.1538461538462,0.989882662835249,95.979020979021
40,93.006993006993,0.975415070242656,93.006993006993
45,96.6783216783217,0.969208971902937,96.5034965034965
50,94.055944055944,0.978348499361431,94.055944055944
55,94.7552447552448,0.985173212005109,94.7552447552448
60,96.8531468531469,0.991459131545339,96.6783216783217
65,97.3776223776224,0.992776181353767,97.2027972027972
70,97.2027972027972,0.993314974457216,97.027972027972
75,97.027972027972,0.993853767560664,96.8531468531469
80,96.5034965034965,0.992816091954023,96.3286713286713
85,95.979020979021,0.992436941251596,95.8041958041958
90,97.7272727272727,0.994691890166028,97.5524475524475
95,96.1538461538462,0.992397030651341,95.979020979021
100,96.3286713286713,0.961845466155811,96.3286713286713
200,97.5524475524475,0.994791666666667,97.3776223776224
300,97.9020979020979,0.995530012771392,97.7272727272727
400,98.0769230769231,0.995090996168582,97.9020979020979
500,97.5524475524475,0.994312739463602,97.5524475524475
600,97.2027972027972,0.994432471264368,97.2027972027972
700,97.7272727272727,0.994931353767561,97.7272727272727
800,97.7272727272727,0.995130906768838,97.5524475524475
900,98.0769230769231,0.99511095146871,97.9020979020979
1000,98.0769230769231,0.995150862068965,97.9020979020979
2846,97.7272727272727,0.994572158365262,97.7272727272727
