train.size,model,accuracy.percent
2,baseline_0,46.2081128747795
2,unsup_BIC_1,94.7089947089947
2,unreg_linear_1,
2,unreg_linear_2,
2,L1reg_linear_117,
4,baseline_0,46.2081128747795
4,unsup_BIC_1,94.7089947089947
4,unreg_linear_1,
4,unreg_linear_2,
4,L1reg_linear_117,
6,baseline_0,79.1887125220459
6,unsup_BIC_1,94.7089947089947
6,unreg_linear_1,
6,unreg_linear_2,
6,L1reg_linear_117,
8,baseline_0,95.4144620811288
8,unsup_BIC_1,94.7089947089947
8,unreg_linear_1,91.5343915343915
8,unreg_linear_2,88.1834215167549
8,L1reg_linear_117,
10,baseline_0,95.4144620811288
10,unsup_BIC_1,94.7089947089947
10,unreg_linear_1,92.9453262786596
10,unreg_linear_2,92.9453262786596
10,L1reg_linear_117,
12,baseline_0,95.4144620811288
12,unsup_BIC_1,94.7089947089947
12,unreg_linear_1,92.9453262786596
12,unreg_linear_2,92.4162257495591
12,L1reg_linear_117,
14,baseline_0,95.4144620811288
14,unsup_BIC_1,94.7089947089947
14,unreg_linear_1,92.9453262786596
14,unreg_linear_2,92.5925925925926
14,L1reg_linear_117,
16,baseline_0,95.4144620811288
16,unsup_BIC_1,94.7089947089947
16,unreg_linear_1,92.9453262786596
16,unreg_linear_2,92.7689594356261
16,L1reg_linear_117,
18,baseline_0,87.4779541446208
18,unsup_BIC_1,94.7089947089947
18,unreg_linear_1,95.9435626102293
18,unreg_linear_2,95.4144620811288
18,L1reg_linear_117,93.2980599647266
20,baseline_0,87.4779541446208
20,unsup_BIC_1,94.7089947089947
20,unreg_linear_1,95.9435626102293
20,unreg_linear_2,95.4144620811288
20,L1reg_linear_117,90.8289241622575
25,baseline_0,87.4779541446208
25,unsup_BIC_1,94.7089947089947
25,unreg_linear_1,95.9435626102293
25,unreg_linear_2,95.2380952380952
25,L1reg_linear_117,89.7707231040564
30,baseline_0,91.358024691358
30,unsup_BIC_1,94.7089947089947
30,unreg_linear_1,95.9435626102293
30,unreg_linear_2,94.1798941798942
30,L1reg_linear_117,94.7089947089947
35,baseline_0,91.358024691358
35,unsup_BIC_1,94.7089947089947
35,unreg_linear_1,95.9435626102293
35,unreg_linear_2,94.1798941798942
35,L1reg_linear_117,94.7089947089947
40,baseline_0,91.358024691358
40,unsup_BIC_1,94.7089947089947
40,unreg_linear_1,95.5908289241623
40,unreg_linear_2,94.1798941798942
40,L1reg_linear_117,94.5326278659612
45,baseline_0,91.358024691358
45,unsup_BIC_1,94.7089947089947
45,unreg_linear_1,94.0035273368607
45,unreg_linear_2,92.9453262786596
45,L1reg_linear_117,93.6507936507937
50,baseline_0,91.358024691358
50,unsup_BIC_1,94.7089947089947
50,unreg_linear_1,94.0035273368607
50,unreg_linear_2,92.9453262786596
50,L1reg_linear_117,93.2980599647266
55,baseline_0,91.358024691358
55,unsup_BIC_1,94.7089947089947
55,unreg_linear_1,94.0035273368607
55,unreg_linear_2,92.9453262786596
55,L1reg_linear_117,94.0035273368607
60,baseline_0,91.358024691358
60,unsup_BIC_1,94.7089947089947
60,unreg_linear_1,94.1798941798942
60,unreg_linear_2,92.9453262786596
60,L1reg_linear_117,91.710758377425
65,baseline_0,94.1798941798942
65,unsup_BIC_1,94.7089947089947
65,unreg_linear_1,96.1199294532628
65,unreg_linear_2,95.4144620811288
65,L1reg_linear_117,92.4162257495591
70,baseline_0,94.1798941798942
70,unsup_BIC_1,94.7089947089947
70,unreg_linear_1,96.1199294532628
70,unreg_linear_2,94.5326278659612
70,L1reg_linear_117,92.9453262786596
75,baseline_0,94.1798941798942
75,unsup_BIC_1,94.7089947089947
75,unreg_linear_1,96.1199294532628
75,unreg_linear_2,94.3562610229277
75,L1reg_linear_117,89.5943562610229
80,baseline_0,94.1798941798942
80,unsup_BIC_1,94.7089947089947
80,unreg_linear_1,96.1199294532628
80,unreg_linear_2,94.3562610229277
80,L1reg_linear_117,92.4162257495591
85,baseline_0,94.1798941798942
85,unsup_BIC_1,94.7089947089947
85,unreg_linear_1,96.1199294532628
85,unreg_linear_2,93.8271604938272
85,L1reg_linear_117,91.005291005291
90,baseline_0,94.1798941798942
90,unsup_BIC_1,94.7089947089947
90,unreg_linear_1,96.1199294532628
90,unreg_linear_2,93.8271604938272
90,L1reg_linear_117,92.2398589065256
95,baseline_0,94.1798941798942
95,unsup_BIC_1,94.7089947089947
95,unreg_linear_1,96.1199294532628
95,unreg_linear_2,93.1216931216931
95,L1reg_linear_117,92.2398589065256
100,baseline_0,94.1798941798942
100,unsup_BIC_1,94.7089947089947
100,unreg_linear_1,96.1199294532628
100,unreg_linear_2,93.1216931216931
100,L1reg_linear_117,91.5343915343915
200,baseline_0,95.4144620811288
200,unsup_BIC_1,94.7089947089947
200,unreg_linear_1,97.3544973544974
200,unreg_linear_2,91.005291005291
200,L1reg_linear_117,94.5326278659612
300,baseline_0,95.7671957671958
300,unsup_BIC_1,94.7089947089947
300,unreg_linear_1,96.4726631393298
300,unreg_linear_2,90.1234567901235
300,L1reg_linear_117,94.0035273368607
400,baseline_0,95.4144620811288
400,unsup_BIC_1,94.7089947089947
400,unreg_linear_1,97.3544973544974
400,unreg_linear_2,88.3597883597884
400,L1reg_linear_117,89.2416225749559
500,baseline_0,95.0617283950617
500,unsup_BIC_1,94.7089947089947
500,unreg_linear_1,97.1781305114639
500,unreg_linear_2,87.6543209876543
500,L1reg_linear_117,89.7707231040564
600,baseline_0,94.1798941798942
600,unsup_BIC_1,94.7089947089947
600,unreg_linear_1,96.8253968253968
600,unreg_linear_2,88.8888888888889
600,L1reg_linear_117,89.7707231040564
700,baseline_0,94.5326278659612
700,unsup_BIC_1,94.7089947089947
700,unreg_linear_1,96.8253968253968
700,unreg_linear_2,90.4761904761905
700,L1reg_linear_117,90.299823633157
800,baseline_0,94.3562610229277
800,unsup_BIC_1,94.7089947089947
800,unreg_linear_1,96.8253968253968
800,unreg_linear_2,90.8289241622575
800,L1reg_linear_117,93.1216931216931
900,baseline_0,94.3562610229277
900,unsup_BIC_1,94.7089947089947
900,unreg_linear_1,96.8253968253968
900,unreg_linear_2,90.8289241622575
900,L1reg_linear_117,91.710758377425
1000,baseline_0,94.7089947089947
1000,unsup_BIC_1,94.7089947089947
1000,unreg_linear_1,96.8253968253968
1000,unreg_linear_2,90.8289241622575
1000,L1reg_linear_117,91.8871252204586
2851,baseline_0,92.9453262786596
2851,unsup_BIC_1,94.7089947089947
2851,unreg_linear_1,96.8253968253968
2851,unreg_linear_2,92.0634920634921
2851,L1reg_linear_117,89.5943562610229
