train.size,model,accuracy.percent
2,baseline_0,95.0590428837788
2,unsup_BIC_1,92.3244251087632
2,unreg_linear_1,94.6550652579242
2,unreg_linear_2,94.6550652579242
2,L1reg_linear_117,
4,baseline_0,95.0590428837788
4,unsup_BIC_1,92.3244251087632
4,unreg_linear_1,94.6550652579242
4,unreg_linear_2,94.6550652579242
4,L1reg_linear_117,
6,baseline_0,90.8328154133002
6,unsup_BIC_1,92.3244251087632
6,unreg_linear_1,97.2343070229957
6,unreg_linear_2,96.4574269732753
6,L1reg_linear_117,93.5674331883157
8,baseline_0,90.8328154133002
8,unsup_BIC_1,92.3244251087632
8,unreg_linear_1,97.2964574269733
8,unreg_linear_2,97.513983840895
8,L1reg_linear_117,94.9968924798011
10,baseline_0,90.8328154133002
10,unsup_BIC_1,92.3244251087632
10,unreg_linear_1,97.2964574269733
10,unreg_linear_2,97.6072094468614
10,L1reg_linear_117,94.7793660658794
12,baseline_0,89.4655065257924
12,unsup_BIC_1,92.3244251087632
12,unreg_linear_1,97.0478558110628
12,unreg_linear_2,97.6072094468614
12,L1reg_linear_117,97.172156619018
14,baseline_0,89.4655065257924
14,unsup_BIC_1,92.3244251087632
14,unreg_linear_1,96.9546302050964
14,unreg_linear_2,97.6072094468614
14,L1reg_linear_117,97.2964574269733
16,baseline_0,89.4655065257924
16,unsup_BIC_1,92.3244251087632
16,unreg_linear_1,96.8924798011187
16,unreg_linear_2,97.6072094468614
16,L1reg_linear_117,97.2032318210069
18,baseline_0,88.1603480422623
18,unsup_BIC_1,92.3244251087632
18,unreg_linear_1,96.022374145432
18,unreg_linear_2,97.6382846488502
18,L1reg_linear_117,93.1634555624612
20,baseline_0,88.9683032939714
20,unsup_BIC_1,92.3244251087632
20,unreg_linear_1,97.3896830329397
20,unreg_linear_2,97.7004350528279
20,L1reg_linear_117,96.0534493474208
25,baseline_0,88.1292728402735
25,unsup_BIC_1,92.3244251087632
25,unreg_linear_1,97.3275326289621
25,unreg_linear_2,97.513983840895
25,L1reg_linear_117,95.5873213175886
30,baseline_0,88.0049720323182
30,unsup_BIC_1,92.3244251087632
30,unreg_linear_1,97.2964574269733
30,unreg_linear_2,97.5450590428838
30,L1reg_linear_117,97.4829086389062
35,baseline_0,87.7252952144189
35,unsup_BIC_1,92.3244251087632
35,unreg_linear_1,97.2343070229957
35,unreg_linear_2,97.669359850839
35,L1reg_linear_117,97.0478558110628
40,baseline_0,87.7252952144189
40,unsup_BIC_1,92.3244251087632
40,unreg_linear_1,97.3896830329397
40,unreg_linear_2,97.2032318210069
40,L1reg_linear_117,96.3952765692977
45,baseline_0,87.9117464263518
45,unsup_BIC_1,92.3244251087632
45,unreg_linear_1,97.2964574269733
45,unreg_linear_2,96.7681789931635
45,L1reg_linear_117,96.2709757613425
50,baseline_0,87.9117464263518
50,unsup_BIC_1,92.3244251087632
50,unreg_linear_1,97.3275326289621
50,unreg_linear_2,97.7004350528279
50,L1reg_linear_117,95.7116221255438
55,baseline_0,87.6320696084525
55,unsup_BIC_1,92.3244251087632
55,unreg_linear_1,97.2964574269733
55,unreg_linear_2,98.1354878806712
55,L1reg_linear_117,95.5873213175886
60,baseline_0,87.6320696084525
60,unsup_BIC_1,92.3244251087632
60,unreg_linear_1,97.2653822249845
60,unreg_linear_2,98.1354878806712
60,L1reg_linear_117,96.3331261653201
65,baseline_0,87.383467992542
65,unsup_BIC_1,92.3244251087632
65,unreg_linear_1,97.3275326289621
65,unreg_linear_2,98.16656308266
65,L1reg_linear_117,95.1522684897452
70,baseline_0,87.383467992542
70,unsup_BIC_1,92.3244251087632
70,unreg_linear_1,97.4518334369174
70,unreg_linear_2,97.4829086389062
70,L1reg_linear_117,95.4630205096333
75,baseline_0,87.383467992542
75,unsup_BIC_1,92.3244251087632
75,unreg_linear_1,97.4518334369174
75,unreg_linear_2,97.4829086389062
75,L1reg_linear_117,95.3697949036669
80,baseline_0,87.383467992542
80,unsup_BIC_1,92.3244251087632
80,unreg_linear_1,97.4207582349285
80,unreg_linear_2,97.4518334369174
80,L1reg_linear_117,95.8359229334991
85,baseline_0,87.383467992542
85,unsup_BIC_1,92.3244251087632
85,unreg_linear_1,97.4207582349285
85,unreg_linear_2,97.6072094468614
85,L1reg_linear_117,95.6183965195774
90,baseline_0,87.383467992542
90,unsup_BIC_1,92.3244251087632
90,unreg_linear_1,97.4207582349285
90,unreg_linear_2,97.669359850839
90,L1reg_linear_117,95.8669981354879
95,baseline_0,87.383467992542
95,unsup_BIC_1,92.3244251087632
95,unreg_linear_1,97.4207582349285
95,unreg_linear_2,97.669359850839
95,L1reg_linear_117,95.8669981354879
100,baseline_0,87.383467992542
100,unsup_BIC_1,92.3244251087632
100,unreg_linear_1,97.3896830329397
100,unreg_linear_2,97.669359850839
100,L1reg_linear_117,96.1155997513984
200,baseline_0,87.6320696084525
200,unsup_BIC_1,92.3244251087632
200,unreg_linear_1,95.6494717215662
200,unreg_linear_2,97.5761342448726
200,L1reg_linear_117,95.7737725295214
200,baseline_0,87.6320696084525
200,unsup_BIC_1,92.3244251087632
200,unreg_linear_1,95.6494717215662
200,unreg_linear_2,97.5761342448726
200,L1reg_linear_117,95.7737725295214
