train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,94.7089947089947,0.986420321392702,567,94.7089947089947
4,94.7089947089947,0.986420321392702,567,94.7089947089947
6,94.7089947089947,0.986420321392702,567,94.7089947089947
8,94.7089947089947,0.986420321392702,567,94.7089947089947
10,94.7089947089947,0.986420321392702,567,94.7089947089947
12,94.7089947089947,0.986420321392702,567,94.7089947089947
14,94.7089947089947,0.986420321392702,567,94.7089947089947
16,94.7089947089947,0.986420321392702,567,94.7089947089947
18,94.7089947089947,0.986420321392702,567,94.7089947089947
20,94.7089947089947,0.986420321392702,567,94.7089947089947
25,94.7089947089947,0.986420321392702,567,94.7089947089947
30,94.7089947089947,0.986420321392702,567,94.7089947089947
35,94.7089947089947,0.986420321392702,567,94.7089947089947
40,94.7089947089947,0.986420321392702,567,94.7089947089947
45,94.7089947089947,0.986420321392702,567,94.7089947089947
50,94.7089947089947,0.986420321392702,567,94.7089947089947
55,94.7089947089947,0.986420321392702,567,94.7089947089947
60,94.7089947089947,0.986420321392702,567,94.7089947089947
65,94.7089947089947,0.986420321392702,567,94.7089947089947
70,94.7089947089947,0.986420321392702,567,94.7089947089947
75,94.7089947089947,0.986420321392702,567,94.7089947089947
80,94.7089947089947,0.986420321392702,567,94.7089947089947
85,94.7089947089947,0.986420321392702,567,94.7089947089947
90,94.7089947089947,0.986420321392702,567,94.7089947089947
95,94.7089947089947,0.986420321392702,567,94.7089947089947
100,94.7089947089947,0.986420321392702,567,94.7089947089947
200,94.7089947089947,0.986420321392702,567,94.7089947089947
