train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,,,
6,,,
8,,,
10,,,
12,,,
14,,,
16,,,
18,,,
20,,,
25,98.066783831283,0.991225254146602,98.066783831283
30,96.3093145869947,0.9812734082397,96.3093145869947
35,96.1335676625659,0.981326912787587,96.1335676625659
40,96.1335676625659,0.981380417335474,96.1335676625659
45,96.1335676625659,0.981540930979133,96.1335676625659
50,96.1335676625659,0.981701444622793,96.1335676625659
55,96.1335676625659,0.98159443552702,96.1335676625659
60,96.1335676625659,0.981701444622793,96.1335676625659
65,96.1335676625659,0.981647940074906,96.1335676625659
70,96.1335676625659,0.98175494917068,96.1335676625659
75,96.1335676625659,0.981701444622793,96.1335676625659
80,96.1335676625659,0.981647940074906,96.1335676625659
85,98.4182776801406,0.995398608881755,98.4182776801406
90,98.4182776801406,0.995452113429642,98.4182776801406
95,98.4182776801406,0.995452113429642,98.4182776801406
100,98.4182776801406,0.995398608881755,98.4182776801406
200,98.066783831283,0.994114499732477,98.066783831283
300,98.7697715289983,0.994007490636704,98.7697715289982
400,98.7697715289983,0.99438202247191,98.7697715289982
500,98.7697715289983,0.993472445157838,98.7697715289982
600,98.4182776801406,0.993793472445158,98.4182776801406
700,98.2425307557118,0.993846976993044,98.2425307557118
800,98.2425307557118,0.993472445157838,98.2425307557118
900,98.2425307557118,0.993365436062065,98.2425307557118
1000,98.2425307557118,0.993365436062065,98.2425307557118
2849,98.066783831283,0.99266987693954,98.066783831283
