train.size,model,accuracy.percent
2,baseline_0,63.0550621669627
2,unsup_BIC_1,93.4280639431616
2,unreg_linear_1,
2,unreg_linear_2,
2,L1reg_linear_117,
4,baseline_0,73.1793960923624
4,unsup_BIC_1,93.4280639431616
4,unreg_linear_1,
4,unreg_linear_2,
4,L1reg_linear_117,
6,baseline_0,82.0603907637655
6,unsup_BIC_1,93.4280639431616
6,unreg_linear_1,
6,unreg_linear_2,
6,L1reg_linear_117,
8,baseline_0,82.0603907637655
8,unsup_BIC_1,93.4280639431616
8,unreg_linear_1,
8,unreg_linear_2,
8,L1reg_linear_117,
10,baseline_0,82.0603907637655
10,unsup_BIC_1,93.4280639431616
10,unreg_linear_1,
10,unreg_linear_2,
10,L1reg_linear_117,
12,baseline_0,82.0603907637655
12,unsup_BIC_1,93.4280639431616
12,unreg_linear_1,
12,unreg_linear_2,
12,L1reg_linear_117,
14,baseline_0,82.0603907637655
14,unsup_BIC_1,93.4280639431616
14,unreg_linear_1,
14,unreg_linear_2,
14,L1reg_linear_117,
16,baseline_0,84.7246891651865
16,unsup_BIC_1,93.4280639431616
16,unreg_linear_1,
16,unreg_linear_2,
16,L1reg_linear_117,
18,baseline_0,84.7246891651865
18,unsup_BIC_1,93.4280639431616
18,unreg_linear_1,
18,unreg_linear_2,
18,L1reg_linear_117,
20,baseline_0,84.7246891651865
20,unsup_BIC_1,93.4280639431616
20,unreg_linear_1,
20,unreg_linear_2,
20,L1reg_linear_117,
25,baseline_0,93.6056838365897
25,unsup_BIC_1,93.4280639431616
25,unreg_linear_1,
25,unreg_linear_2,
25,L1reg_linear_117,
30,baseline_0,93.6056838365897
30,unsup_BIC_1,93.4280639431616
30,unreg_linear_1,97.6909413854352
30,unreg_linear_2,98.4014209591474
30,L1reg_linear_117,
35,baseline_0,93.4280639431616
35,unsup_BIC_1,93.4280639431616
35,unreg_linear_1,96.6252220248668
35,unreg_linear_2,98.4014209591474
35,L1reg_linear_117,96.9804618117229
40,baseline_0,93.6056838365897
40,unsup_BIC_1,93.4280639431616
40,unreg_linear_1,96.9804618117229
40,unreg_linear_2,98.2238010657194
40,L1reg_linear_117,97.8685612788632
45,baseline_0,93.6056838365897
45,unsup_BIC_1,93.4280639431616
45,unreg_linear_1,96.9804618117229
45,unreg_linear_2,98.2238010657194
45,L1reg_linear_117,97.6909413854352
50,baseline_0,93.4280639431616
50,unsup_BIC_1,93.4280639431616
50,unreg_linear_1,96.9804618117229
50,unreg_linear_2,98.2238010657194
50,L1reg_linear_117,98.0461811722913
55,baseline_0,93.4280639431616
55,unsup_BIC_1,93.4280639431616
55,unreg_linear_1,96.9804618117229
55,unreg_linear_2,98.2238010657194
55,L1reg_linear_117,97.158081705151
60,baseline_0,93.4280639431616
60,unsup_BIC_1,93.4280639431616
60,unreg_linear_1,96.2699822380107
60,unreg_linear_2,97.158081705151
60,L1reg_linear_117,96.8028419182949
65,baseline_0,93.4280639431616
65,unsup_BIC_1,93.4280639431616
65,unreg_linear_1,96.2699822380107
65,unreg_linear_2,97.158081705151
65,L1reg_linear_117,95.7371225577265
70,baseline_0,93.4280639431616
70,unsup_BIC_1,93.4280639431616
70,unreg_linear_1,96.2699822380107
70,unreg_linear_2,96.9804618117229
70,L1reg_linear_117,95.2042628774423
75,baseline_0,93.4280639431616
75,unsup_BIC_1,93.4280639431616
75,unreg_linear_1,96.2699822380107
75,unreg_linear_2,96.9804618117229
75,L1reg_linear_117,95.2042628774423
80,baseline_0,93.4280639431616
80,unsup_BIC_1,93.4280639431616
80,unreg_linear_1,96.2699822380107
80,unreg_linear_2,97.158081705151
80,L1reg_linear_117,96.9804618117229
85,baseline_0,93.4280639431616
85,unsup_BIC_1,93.4280639431616
85,unreg_linear_1,97.158081705151
85,unreg_linear_2,98.0461811722913
85,L1reg_linear_117,95.9147424511545
90,baseline_0,93.4280639431616
90,unsup_BIC_1,93.4280639431616
90,unreg_linear_1,96.4476021314387
