train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,96,
4,,,96,
6,,,96,
8,,,96,
10,92.7083333333333,0.520064205457464,96,92.7083333333333
12,92.7083333333333,0.621187800963082,96,92.7083333333333
14,92.7083333333333,0.57784911717496,96,92.7083333333333
16,92.7083333333333,0.569823434991974,96,92.7083333333333
18,92.7083333333333,0.995184590690209,96,92.7083333333333
20,92.7083333333333,0.788121990369181,96,92.7083333333333
25,92.7083333333333,0.746388443017657,96,92.7083333333333
30,92.7083333333333,0.996789727126806,96,92.7083333333333
35,92.7083333333333,0.996789727126806,96,92.7083333333333
40,92.7083333333333,0.996789727126806,96,92.7083333333333
45,92.7083333333333,0.996789727126806,96,92.7083333333333
50,92.7083333333333,0.991974317817014,96,92.7083333333333
55,92.7083333333333,1,96,92.7083333333333
60,92.7083333333333,0.993579454253612,96,92.7083333333333
65,96.875,0.996789727126806,96,96.875
70,92.7083333333333,0.995184590690209,96,92.7083333333333
75,96.875,0.998394863563403,96,96.875
80,96.875,0.993579454253612,96,96.875
85,92.7083333333333,0.998394863563403,96,92.7083333333333
90,92.7083333333333,0.995184590690209,96,92.7083333333333
95,96.875,0.991974317817014,96,96.875
100,96.875,0.990369181380417,96,96.875
200,94.7916666666667,0.98876404494382,96,94.7916666666667
300,94.7916666666667,0.987158908507223,96,94.7916666666667
400,95.8333333333333,0.983948635634029,96,95.8333333333333
500,96.875,0.985553772070626,96,96.875
600,96.875,0.985553772070626,96,96.875
700,96.875,0.987158908507223,96,96.875
800,96.875,0.990369181380417,96,96.875
900,95.8333333333333,0.98876404494382,96,95.8333333333333
1000,96.875,0.990369181380417,96,96.875
3322,97.9166666666667,0.982343499197432,96,97.9166666666667
