train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,96,
4,98.9583333333333,0.998394863563403,96,98.9583333333334
6,70.8333333333333,1,96,70.8333333333334
8,94.7916666666667,0.995184590690209,96,94.7916666666667
10,89.5833333333333,0.980738362760835,96,89.5833333333333
12,89.5833333333333,0.980738362760835,96,89.5833333333333
14,95.8333333333333,0.982343499197432,96,95.8333333333333
16,95.8333333333333,0.982343499197432,96,95.8333333333333
18,94.7916666666667,0.979133226324238,96,94.7916666666667
20,95.8333333333333,0.982343499197432,96,95.8333333333333
25,94.7916666666667,0.987158908507223,96,94.7916666666667
30,96.875,0.98876404494382,96,96.875
35,96.875,0.98876404494382,96,96.875
40,96.875,0.98876404494382,96,96.875
45,96.875,0.991974317817014,96,96.875
50,96.875,0.991974317817014,96,96.875
55,96.875,0.990369181380417,96,96.875
60,96.875,0.991974317817014,96,96.875
