train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
4,95.8333333333333,0.980738362760835,96,95.8333333333333
5,92.7083333333333,0.980738362760835,96,92.7083333333333
6,96.875,0.990369181380417,96,96.875
7,95.8333333333333,0.995184590690209,96,95.8333333333333
8,97.9166666666667,0.985553772070626,96,97.9166666666667
9,94.7916666666667,0.995184590690209,96,94.7916666666667
10,97.9166666666667,0.98876404494382,96,97.9166666666667
11,95.8333333333333,0.995184590690209,96,95.8333333333333
12,94.7916666666667,0.995184590690209,96,94.7916666666667
13,95.8333333333333,0.995184590690209,96,95.8333333333333
14,98.9583333333333,0.980738362760835,96,98.9583333333334
15,96.875,0.990369181380417,96,96.875
16,96.875,0.990369181380417,96,96.875
17,96.875,0.990369181380417,96,96.875
18,96.875,0.990369181380417,96,96.875
19,96.875,0.990369181380417,96,96.875
20,96.875,0.990369181380417,96,96.875
21,96.875,0.990369181380417,96,96.875
22,96.875,0.990369181380417,96,96.875
23,96.875,0.990369181380417,96,96.875
24,96.875,0.990369181380417,96,96.875
25,96.875,0.990369181380417,96,96.875
26,96.875,0.990369181380417,96,96.875
27,96.875,0.990369181380417,96,96.875
28,96.875,0.990369181380417,96,96.875
29,96.875,0.990369181380417,96,96.875
30,96.875,0.990369181380417,96,96.875
31,96.875,0.990369181380417,96,96.875
32,96.875,0.990369181380417,96,96.875
33,96.875,0.990369181380417,96,96.875
34,96.875,0.990369181380417,96,96.875
35,96.875,0.990369181380417,96,96.875
36,96.875,0.990369181380417,96,96.875
37,96.875,0.990369181380417,96,96.875
38,96.875,0.990369181380417,96,96.875
39,96.875,0.990369181380417,96,96.875
40,96.875,0.990369181380417,96,96.875
41,96.875,0.990369181380417,96,96.875
42,96.875,0.990369181380417,96,96.875
43,96.875,0.990369181380417,96,96.875
44,96.875,0.990369181380417,96,96.875
45,96.875,0.990369181380417,96,96.875
46,96.875,0.990369181380417,96,96.875
47,96.875,0.990369181380417,96,96.875
48,96.875,0.990369181380417,96,96.875
49,96.875,0.990369181380417,96,96.875
50,98.9583333333333,0.991974317817014,96,98.9583333333334
51,96.875,0.98876404494382,96,96.875
52,96.875,0.98876404494382,96,96.875
53,96.875,0.98876404494382,96,96.875
54,98.9583333333333,0.991974317817014,96,98.9583333333334
55,97.9166666666667,0.991974317817014,96,97.9166666666667
56,96.875,0.98876404494382,96,96.875
57,96.875,0.98876404494382,96,96.875
58,96.875,0.98876404494382,96,96.875
59,96.875,0.98876404494382,96,96.875
60,96.875,0.98876404494382,96,96.875
