n,accuracy
4,17.708333333333336
5,83.33333333333334
6,86.45833333333334
7,83.33333333333334
8,94.79166666666666
9,39.58333333333333
10,43.75
11,46.875
12,60.416666666666664
13,59.375
14,51.041666666666664
15,60.416666666666664
16,59.375
17,65.625
18,60.416666666666664
19,92.70833333333334
20,82.29166666666666
21,92.70833333333334
22,94.79166666666666
23,87.5
24,88.54166666666666
25,90.625
26,90.625
27,90.625
28,87.5
29,87.5
30,90.625
31,93.75
32,95.83333333333334
33,95.83333333333334
34,95.83333333333334
35,95.83333333333334
36,94.79166666666666
37,95.83333333333334
38,95.83333333333334
39,95.83333333333334
40,87.5
41,80.20833333333334
42,94.79166666666666
43,94.79166666666666
44,95.83333333333334
45,92.70833333333334
46,92.70833333333334
47,93.75
48,92.70833333333334
49,93.75
50,93.75
51,93.75
52,93.75
53,90.625
54,89.58333333333334
55,86.45833333333334
56,91.66666666666666
57,92.70833333333334
58,94.79166666666666
59,91.66666666666666
60,95.83333333333334
61,95.83333333333334
62,95.83333333333334
63,92.70833333333334
64,75.0
65,86.45833333333334
66,76.04166666666666
67,84.375
68,57.291666666666664
69,61.458333333333336
70,80.20833333333334
71,92.70833333333334
72,92.70833333333334
73,92.70833333333334
74,92.70833333333334
75,92.70833333333334
76,92.70833333333334
77,57.291666666666664
78,92.70833333333334
79,7.291666666666667
80,7.291666666666667
81,92.70833333333334
82,92.70833333333334
83,7.291666666666667
84,92.70833333333334
85,92.70833333333334
86,92.70833333333334
87,7.291666666666667
88,92.70833333333334
89,7.291666666666667
90,95.83333333333334
91,80.20833333333334
92,7.291666666666667
93,95.83333333333334
94,95.83333333333334
95,7.291666666666667
96,54.166666666666664
97,95.83333333333334
98,54.166666666666664
99,43.75
100,10.416666666666668
