train.size,model,accuracy.percent
2,baseline_0,93.8215792646172
2,unsup_BIC_1,92.2242314647378
2,unreg_linear_1,92.706449668475
2,unreg_linear_2,92.706449668475
2,L1reg_linear_117,
4,baseline_0,93.6708860759494
4,unsup_BIC_1,92.2242314647378
4,unreg_linear_1,92.706449668475
4,unreg_linear_2,92.706449668475
4,L1reg_linear_117,92.706449668475
6,baseline_0,89.0295358649789
6,unsup_BIC_1,92.2242314647378
6,unreg_linear_1,91.3502109704641
6,unreg_linear_2,95.0271247739602
6,L1reg_linear_117,92.1338155515371
8,baseline_0,88.2760699216396
8,unsup_BIC_1,92.2242314647378
8,unreg_linear_1,91.3502109704641
8,unreg_linear_2,95.3586497890296
8,L1reg_linear_117,95.6600361663653
10,baseline_0,87.4020494273659
10,unsup_BIC_1,92.2242314647378
10,unreg_linear_1,91.3502109704641
10,unreg_linear_2,95.539481615431
10,L1reg_linear_117,86.2567811934901
12,baseline_0,87.4020494273659
12,unsup_BIC_1,92.2242314647378
12,unreg_linear_1,91.3200723327306
12,unreg_linear_2,95.6298975286317
12,L1reg_linear_117,96.0819770946353
14,baseline_0,87.4020494273659
14,unsup_BIC_1,92.2242314647378
14,unreg_linear_1,95.8107293550331
14,unreg_linear_2,96.7148884870404
14,L1reg_linear_117,94.6051838456902
16,baseline_0,87.5828812537673
16,unsup_BIC_1,92.2242314647378
16,unreg_linear_1,95.8107293550331
16,unreg_linear_2,97.9204339963834
16,L1reg_linear_117,95.4792043399638
18,baseline_0,87.5828812537673
18,unsup_BIC_1,92.2242314647378
18,unreg_linear_1,95.8710066305003
18,unreg_linear_2,97.9204339963834
18,L1reg_linear_117,94.4846292947559
20,baseline_0,87.5828812537673
20,unsup_BIC_1,92.2242314647378
20,unreg_linear_1,95.8710066305003
20,unreg_linear_2,97.9204339963834
20,L1reg_linear_117,96.3532248342375
25,baseline_0,87.5828812537673
25,unsup_BIC_1,92.2242314647378
25,unreg_linear_1,96.8354430379747
25,unreg_linear_2,97.9204339963834
25,L1reg_linear_117,95.5093429776974
30,baseline_0,87.5828812537673
30,unsup_BIC_1,92.2242314647378
30,unreg_linear_1,94.8462929475588
30,unreg_linear_2,97.7396021699819
30,L1reg_linear_117,94.9969861362267
35,baseline_0,87.5828812537673
35,unsup_BIC_1,92.2242314647378
35,unreg_linear_1,94.8161543098252
35,unreg_linear_2,97.7396021699819
35,L1reg_linear_117,95.8408679927667
40,baseline_0,87.5828812537673
40,unsup_BIC_1,92.2242314647378
40,unreg_linear_1,94.8161543098252
40,unreg_linear_2,97.7396021699819
40,L1reg_linear_117,96.0216998191682
45,baseline_0,87.5828812537673
45,unsup_BIC_1,92.2242314647378
45,unreg_linear_1,93.1886678722122
45,unreg_linear_2,96.9258589511754
45,L1reg_linear_117,95.5696202531646
50,baseline_0,88.2760699216396
50,unsup_BIC_1,92.2242314647378
50,unreg_linear_1,94.333936106088
50,unreg_linear_2,97.4683544303798
50,L1reg_linear_117,96.5943339361061
55,baseline_0,88.2760699216396
55,unsup_BIC_1,92.2242314647378
55,unreg_linear_1,94.333936106088
55,unreg_linear_2,97.4683544303798
55,L1reg_linear_117,96.8053044002411
60,baseline_0,88.2760699216396
60,unsup_BIC_1,92.2242314647378
60,unreg_linear_1,94.333936106088
60,unreg_linear_2,97.4683544303798
60,L1reg_linear_117,96.745027124774
65,baseline_0,88.2760699216396
65,unsup_BIC_1,92.2242314647378
65,unreg_linear_1,94.333936106088
65,unreg_linear_2,97.4683544303798
65,L1reg_linear_117,96.8354430379747
70,baseline_0,88.1856540084388
70,unsup_BIC_1,92.2242314647378
70,unreg_linear_1,94.333936106088
70,unreg_linear_2,97.4683544303798
70,L1reg_linear_117,96.6847498493068
75,baseline_0,87.9144062688367
75,unsup_BIC_1,92.2242314647378
75,unreg_linear_1,94.3037974683544
75,unreg_linear_2,97.4382157926462
75,L1reg_linear_117,96.6847498493068
80,baseline_0,87.9144062688367
80,unsup_BIC_1,92.2242314647378
80,unreg_linear_1,94.4846292947559
80,unreg_linear_2,97.4683544303798
80,L1reg_linear_117,96.4737793851718
85,baseline_0,87.9144062688367
85,unsup_BIC_1,92.2242314647378
85,unreg_linear_1,94.4846292947559
85,unreg_linear_2,97.4683544303798
85,L1reg_linear_117,96.6546112115732
90,baseline_0,87.9144062688367
90,unsup_BIC_1,92.2242314647378
90,unreg_linear_1,94.4846292947559
90,unreg_linear_2,97.4382157926462
90,L1reg_linear_117,96.8655816757083
95,baseline_0,87.9144062688367
95,unsup_BIC_1,92.2242314647378
95,unreg_linear_1,94.4544906570223
95,unreg_linear_2,97.4382157926462
95,L1reg_linear_117,96.2025316455696
100,baseline_0,87.7034358047016
100,unsup_BIC_1,92.2242314647378
100,unreg_linear_1,94.4243520192887
100,unreg_linear_2,97.2573839662447
100,L1reg_linear_117,96.6244725738397
100,baseline_0,87.7034358047016
100,unsup_BIC_1,92.2242314647378
100,unreg_linear_1,94.4243520192887
100,unreg_linear_2,97.2573839662447
100,L1reg_linear_117,96.6244725738397
