n,accuracy,cov,mean,lik
4,92.7083333333333,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
5,93.75,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
6,95.8333333333333,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
7,95.8333333333333,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
8,95.8333333333333,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
9,95.8333333333333,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
10,93.75,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
11,95.8333333333333,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
12,92.7083333333333,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
13,95.8333333333333,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
14,96.875,"{    @covMaternard, 5}","    @meanZero","{    @likIntervalLogistic, 10}"
15,96.875,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
16,95.8333333333333,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
17,95.8333333333333,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
18,95.8333333333333,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
19,95.8333333333333,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
20,93.75,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
21,93.75,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
22,93.75,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
23,93.75,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
24,95.8333333333333,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
25,100,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
26,100,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
27,100,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
28,100,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
29,100,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
30,97.9166666666667,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
31,97.9166666666667,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
32,97.9166666666667,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
33,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
34,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
35,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
36,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
37,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
38,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
39,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
40,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
41,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
42,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
43,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
44,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
45,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
46,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
47,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
48,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
49,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
50,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
51,97.9166666666667,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
52,97.9166666666667,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
53,97.9166666666667,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
54,96.875,"    @covSEard","    @meanZero","{    @likIntervalLogistic, 10}"
55,97.9166666666667,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
56,97.9166666666667,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
57,97.9166666666667,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
58,97.9166666666667,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
59,97.9166666666667,"{    @covMaternard, 5}","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
60,97.9166666666667,"    @covSEard","{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
