train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,96,
4,96.875,0.996789727126806,96,96.875
6,17.7083333333333,0.963081861958266,96,17.7083333333333
8,68.75,0.975922953451043,96,68.75
10,41.6666666666667,0.993579454253612,96,41.6666666666667
12,19.7916666666667,0.93900481540931,96,19.7916666666667
14,28.125,0.996789727126806,96,28.125
16,27.0833333333333,0.996789727126806,96,27.0833333333333
18,27.0833333333333,0.996789727126806,96,27.0833333333333
20,18.75,0.953451043338684,96,18.75
25,29.1666666666667,0.995184590690209,96,29.1666666666667
30,34.375,0.991974317817014,96,34.375
35,36.4583333333333,0.975922953451043,96,36.4583333333333
40,35.4166666666667,0.983948635634029,96,34.375
45,94.7916666666667,0.97752808988764,96,94.7916666666667
50,97.9166666666667,0.991974317817014,96,97.9166666666667
55,87.5,0.982343499197432,96,87.5
60,96.875,0.991974317817014,96,96.875
