n,accuracy
4,17.7083333333333
5,96.875
6,92.7083333333333
7,92.7083333333333
8,92.7083333333333
9,91.6666666666667
10,94.7916666666667
11,95.8333333333333
12,94.7916666666667
13,94.7916666666667
14,94.7916666666667
15,94.7916666666667
16,94.7916666666667
17,94.7916666666667
18,94.7916666666667
19,94.7916666666667
20,94.7916666666667
21,94.7916666666667
22,94.7916666666667
23,94.7916666666667
24,94.7916666666667
25,94.7916666666667
26,94.7916666666667
27,94.7916666666667
28,94.7916666666667
29,94.7916666666667
30,94.7916666666667
31,94.7916666666667
32,94.7916666666667
33,94.7916666666667
34,94.7916666666667
35,94.7916666666667
36,94.7916666666667
37,94.7916666666667
38,94.7916666666667
39,94.7916666666667
40,94.7916666666667
41,94.7916666666667
42,94.7916666666667
43,94.7916666666667
44,94.7916666666667
45,94.7916666666667
46,94.7916666666667
47,94.7916666666667
48,94.7916666666667
49,94.7916666666667
50,94.7916666666667
51,94.7916666666667
52,97.9166666666667
53,97.9166666666667
54,97.9166666666667
55,97.9166666666667
56,98.9583333333333
57,97.9166666666667
58,97.9166666666667
59,97.9166666666667
60,97.9166666666667
