train.size,model,accuracy.percent
2,baseline_0,93.6271590232281
2,unsup_BIC_1,91.9297200714711
2,unreg_linear_1,45.2054794520548
2,unreg_linear_2,55.8368076235855
2,L1reg_linear_117,
4,baseline_0,93.6271590232281
4,unsup_BIC_1,91.9297200714711
4,unreg_linear_1,64.6515783204288
4,unreg_linear_2,80.0774270399047
4,L1reg_linear_117,81.5664085765337
6,baseline_0,93.0315664085765
6,unsup_BIC_1,91.9297200714711
6,unreg_linear_1,64.5920190589637
6,unreg_linear_2,79.8689696247767
6,L1reg_linear_117,77.6950565812984
8,baseline_0,93.0315664085765
8,unsup_BIC_1,91.9297200714711
8,unreg_linear_1,64.5622394282311
8,unreg_linear_2,78.5884455032758
8,L1reg_linear_117,65.1578320428827
10,baseline_0,93.0315664085765
10,unsup_BIC_1,91.9297200714711
10,unreg_linear_1,66.05122096486
10,unreg_linear_2,85.8844550327576
10,L1reg_linear_117,76.4145324597975
12,baseline_0,93.0315664085765
12,unsup_BIC_1,91.9297200714711
12,unreg_linear_1,66.05122096486
12,unreg_linear_2,85.8844550327576
12,L1reg_linear_117,75.5807027992853
14,baseline_0,93.0315664085765
14,unsup_BIC_1,91.9297200714711
14,unreg_linear_1,66.05122096486
14,unreg_linear_2,84.0678975580703
14,L1reg_linear_117,86.2418106015485
16,baseline_0,93.0315664085765
16,unsup_BIC_1,91.9297200714711
16,unreg_linear_1,66.05122096486
16,unreg_linear_2,84.0678975580703
16,L1reg_linear_117,86.3311494937463
18,baseline_0,93.0315664085765
18,unsup_BIC_1,91.9297200714711
18,unreg_linear_1,66.05122096486
18,unreg_linear_2,84.0678975580703
18,L1reg_linear_117,83.1745086360929
20,baseline_0,93.0315664085765
20,unsup_BIC_1,91.9297200714711
20,unreg_linear_1,65.9618820726623
20,unreg_linear_2,84.0678975580703
20,L1reg_linear_117,83.3234067897558
25,baseline_0,93.0315664085765
25,unsup_BIC_1,91.9297200714711
25,unreg_linear_1,66.05122096486
25,unreg_linear_2,84.0678975580703
25,L1reg_linear_117,65.0387135199524
30,baseline_0,91.7212626563431
30,unsup_BIC_1,91.9297200714711
30,unreg_linear_1,65.9023228111971
30,unreg_linear_2,84.0083382966051
30,L1reg_linear_117,57.921381774866
35,baseline_0,91.7212626563431
35,unsup_BIC_1,91.9297200714711
35,unreg_linear_1,65.9023228111971
35,unreg_linear_2,83.7998808814771
35,L1reg_linear_117,85.3186420488386
40,baseline_0,91.7212626563431
40,unsup_BIC_1,91.9297200714711
40,unreg_linear_1,65.9321024419297
40,unreg_linear_2,83.7403216200119
40,L1reg_linear_117,84.0381179273377
45,baseline_0,91.7212626563431
45,unsup_BIC_1,91.9297200714711
45,unreg_linear_1,65.842763549732
45,unreg_linear_2,83.7403216200119
45,L1reg_linear_117,84.1274568195354
50,baseline_0,91.7212626563431
50,unsup_BIC_1,91.9297200714711
50,unreg_linear_1,87.1649791542585
50,unreg_linear_2,83.4127456819536
50,L1reg_linear_117,84.2465753424658
55,baseline_0,91.7212626563431
55,unsup_BIC_1,91.9297200714711
55,unreg_linear_1,91.4830256104824
55,unreg_linear_2,83.4127456819536
55,L1reg_linear_117,84.3061346039309
60,baseline_0,91.7212626563431
60,unsup_BIC_1,91.9297200714711
60,unreg_linear_1,91.4830256104824
60,unreg_linear_2,83.4425253126861
60,L1reg_linear_117,86.9565217391305
60,baseline_0,91.7212626563431
60,unsup_BIC_1,91.9297200714711
60,unreg_linear_1,91.4830256104824
60,unreg_linear_2,83.4425253126861
60,L1reg_linear_117,86.9565217391305
