train.size,model,accuracy.percent
2,baseline_0,52.059925093633
2,unsup_BIC_1,91.3857677902622
2,unreg_linear_1,
2,unreg_linear_2,
2,L1reg_linear_117,
4,baseline_0,86.9850187265918
4,unsup_BIC_1,91.3857677902622
4,unreg_linear_1,93.3520599250936
4,unreg_linear_2,94.0074906367041
4,L1reg_linear_117,
6,baseline_0,96.5355805243446
6,unsup_BIC_1,91.3857677902622
6,unreg_linear_1,93.8202247191011
6,unreg_linear_2,95.4119850187266
6,L1reg_linear_117,
8,baseline_0,96.7228464419476
8,unsup_BIC_1,91.3857677902622
8,unreg_linear_1,87.9213483146068
8,unreg_linear_2,80.8988764044944
8,L1reg_linear_117,90.5430711610487
10,baseline_0,96.7228464419476
10,unsup_BIC_1,91.3857677902622
10,unreg_linear_1,89.3258426966292
10,unreg_linear_2,86.2359550561798
10,L1reg_linear_117,89.4194756554307
12,baseline_0,96.7228464419476
12,unsup_BIC_1,91.3857677902622
12,unreg_linear_1,89.3258426966292
12,unreg_linear_2,86.1423220973783
12,L1reg_linear_117,93.1647940074907
14,baseline_0,96.7228464419476
14,unsup_BIC_1,91.3857677902622
14,unreg_linear_1,89.4194756554307
14,unreg_linear_2,86.1423220973783
14,L1reg_linear_117,96.7228464419476
16,baseline_0,96.7228464419476
16,unsup_BIC_1,91.3857677902622
16,unreg_linear_1,95.9737827715356
16,unreg_linear_2,86.2359550561798
16,L1reg_linear_117,96.3483146067416
18,baseline_0,96.4419475655431
18,unsup_BIC_1,91.3857677902622
18,unreg_linear_1,95.7865168539326
18,unreg_linear_2,84.9250936329588
18,L1reg_linear_117,93.5393258426966
20,baseline_0,95.5992509363296
20,unsup_BIC_1,91.3857677902622
20,unreg_linear_1,95.9737827715356
20,unreg_linear_2,84.9250936329588
20,L1reg_linear_117,95.5056179775281
25,baseline_0,95.5992509363296
25,unsup_BIC_1,91.3857677902622
25,unreg_linear_1,96.8164794007491
25,unreg_linear_2,84.9250936329588
25,L1reg_linear_117,93.6329588014981
30,baseline_0,95.1310861423221
30,unsup_BIC_1,91.3857677902622
30,unreg_linear_1,96.8164794007491
30,unreg_linear_2,89.6067415730337
30,L1reg_linear_117,94.2883895131086
35,baseline_0,95.3183520599251
35,unsup_BIC_1,91.3857677902622
35,unreg_linear_1,96.6292134831461
35,unreg_linear_2,97.2846441947566
35,L1reg_linear_117,98.314606741573
40,baseline_0,95.3183520599251
40,unsup_BIC_1,91.3857677902622
40,unreg_linear_1,97.2846441947566
40,unreg_linear_2,94.9438202247191
40,L1reg_linear_117,96.3483146067416
45,baseline_0,94.8501872659176
45,unsup_BIC_1,91.3857677902622
45,unreg_linear_1,97.2846441947566
45,unreg_linear_2,94.9438202247191
45,L1reg_linear_117,97.1910112359551
50,baseline_0,94.8501872659176
50,unsup_BIC_1,91.3857677902622
50,unreg_linear_1,97.1910112359551
50,unreg_linear_2,95.7865168539326
50,L1reg_linear_117,97.940074906367
55,baseline_0,94.8501872659176
55,unsup_BIC_1,91.3857677902622
55,unreg_linear_1,97.2846441947566
55,unreg_linear_2,95.6928838951311
55,L1reg_linear_117,98.12734082397
60,baseline_0,94.8501872659176
60,unsup_BIC_1,91.3857677902622
60,unreg_linear_1,97.2846441947566
60,unreg_linear_2,95.6928838951311
60,L1reg_linear_117,96.8164794007491
65,baseline_0,94.4756554307116
65,unsup_BIC_1,91.3857677902622
65,unreg_linear_1,97.2846441947566
65,unreg_linear_2,97.752808988764
65,L1reg_linear_117,97.1910112359551
70,baseline_0,94.4756554307116
70,unsup_BIC_1,91.3857677902622
70,unreg_linear_1,97.2846441947566
70,unreg_linear_2,97.752808988764
70,L1reg_linear_117,97.3782771535581
75,baseline_0,94.4756554307116
75,unsup_BIC_1,91.3857677902622
75,unreg_linear_1,97.2846441947566
75,unreg_linear_2,97.4719101123596
75,L1reg_linear_117,97.4719101123596
80,baseline_0,94.4756554307116
80,unsup_BIC_1,91.3857677902622
80,unreg_linear_1,97.2846441947566
80,unreg_linear_2,97.5655430711611
80,L1reg_linear_117,98.0337078651685
85,baseline_0,94.4756554307116
85,unsup_BIC_1,91.3857677902622
85,unreg_linear_1,97.2846441947566
85,unreg_linear_2,97.5655430711611
85,L1reg_linear_117,98.0337078651685
90,baseline_0,94.4756554307116
90,unsup_BIC_1,91.3857677902622
90,unreg_linear_1,97.2846441947566
90,unreg_linear_2,97.5655430711611
90,L1reg_linear_117,98.0337078651685
95,baseline_0,94.4756554307116
95,unsup_BIC_1,91.3857677902622
95,unreg_linear_1,97.2846441947566
95,unreg_linear_2,97.5655430711611
95,L1reg_linear_117,97.8464419475655
100,baseline_0,94.4756554307116
100,unsup_BIC_1,91.3857677902622
100,unreg_linear_1,97.2846441947566
100,unreg_linear_2,97.5655430711611
100,L1reg_linear_117,97.4719101123596
200,baseline_0,95.5056179775281
200,unsup_BIC_1,91.3857677902622
200,unreg_linear_1,97.3782771535581
200,unreg_linear_2,97.2846441947566
200,L1reg_linear_117,97.6591760299626
300,baseline_0,94.4756554307116
300,unsup_BIC_1,91.3857677902622
300,unreg_linear_1,97.0973782771536
300,unreg_linear_2,97.0973782771536
300,L1reg_linear_117,97.940074906367
400,baseline_0,95.3183520599251
400,unsup_BIC_1,91.3857677902622
400,unreg_linear_1,97.4719101123596
400,unreg_linear_2,97.5655430711611
400,L1reg_linear_117,98.0337078651685
500,baseline_0,95.6928838951311
500,unsup_BIC_1,91.3857677902622
500,unreg_linear_1,97.3782771535581
500,unreg_linear_2,98.0337078651685
500,L1reg_linear_117,98.12734082397
600,baseline_0,95.6928838951311
600,unsup_BIC_1,91.3857677902622
600,unreg_linear_1,97.3782771535581
600,unreg_linear_2,98.0337078651685
600,L1reg_linear_117,98.2209737827715
700,baseline_0,95.6928838951311
700,unsup_BIC_1,91.3857677902622
700,unreg_linear_1,97.4719101123596
700,unreg_linear_2,98.12734082397
700,L1reg_linear_117,98.5955056179775
800,baseline_0,95.2247191011236
800,unsup_BIC_1,91.3857677902622
800,unreg_linear_1,97.2846441947566
800,unreg_linear_2,98.0337078651685
800,L1reg_linear_117,98.501872659176
900,baseline_0,95.3183520599251
900,unsup_BIC_1,91.3857677902622
900,unreg_linear_1,97.2846441947566
900,unreg_linear_2,98.0337078651685
900,L1reg_linear_117,98.4082397003746
1000,baseline_0,95.2247191011236
1000,unsup_BIC_1,91.3857677902622
1000,unreg_linear_1,97.3782771535581
1000,unreg_linear_2,98.0337078651685
1000,L1reg_linear_117,98.5955056179775
2350,baseline_0,95.0374531835206
2350,unsup_BIC_1,91.3857677902622
2350,unreg_linear_1,97.2846441947566
2350,unreg_linear_2,98.0337078651685
2350,L1reg_linear_117,98.2209737827715
