train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,570,
4,95.0877192982456,0.988980134687243,570,95.0877192982456
6,90.5263157894737,0.919884312525069,570,90.5263157894737
8,91.4035087719298,0.924866473854208,570,91.4035087719298
10,91.9298245614035,0.932445270113365,570,91.9298245614035
12,89.6491228070176,0.902404526166902,570,89.6491228070176
14,89.8245614035088,0.903818953323904,570,89.8245614035088
16,94.2105263157895,0.956427199223121,570,94.2105263157895
18,94.2105263157895,0.956384977516941,570,94.2105263157895
20,94.2105263157895,0.956300534104583,570,94.2105263157895
25,95.7894736842105,0.985897950136165,570,95.7894736842105
30,95.7894736842105,0.985813506723807,570,95.7894736842105
35,95.6140350877193,0.98862125018472,570,95.6140350877193
40,96.8421052631579,0.990964554877663,570,96.8421052631579
45,96.8421052631579,0.991217885114738,570,96.8421052631579
50,96.8421052631579,0.991217885114738,570,96.8421052631579
55,96.8421052631579,0.991217885114738,570,96.8421052631579
60,96.8421052631579,0.991217885114738,570,96.8421052631579
65,96.8421052631579,0.991217885114738,570,96.8421052631579
70,96.8421052631579,0.991217885114738,570,96.8421052631579
75,96.6666666666667,0.991175663408558,570,96.6666666666667
80,97.1929824561404,0.990964554877663,570,97.1929824561404
85,97.1929824561404,0.990964554877663,570,97.1929824561404
90,97.1929824561404,0.990985665730752,570,97.1929824561404
95,97.1929824561404,0.991006776583842,570,97.1929824561404
100,97.1929824561404,0.991006776583842,570,97.1929824561404
200,96.3157894736842,0.991217885114738,570,96.3157894736842
300,96.6666666666667,0.991006776583842,570,96.6666666666667
400,97.1929824561404,0.990922333171483,570,97.1929824561404
500,97.1929824561404,0.990985665730752,570,97.1929824561404
600,97.1929824561404,0.990985665730752,570,97.1929824561404
700,97.3684210526316,0.991048998290021,570,97.3684210526316
800,97.5438596491228,0.991048998290021,570,97.5438596491228
900,97.3684210526316,0.991006776583842,570,97.3684210526316
1000,97.3684210526316,0.991048998290021,570,97.3684210526316
2848,97.3684210526316,0.99107010914311,570,97.3684210526316
