train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,93.859649122807,0.973695877050392,570,93.859649122807
4,93.859649122807,0.973695877050392,570,93.859649122807
6,93.859649122807,0.973695877050392,570,93.859649122807
8,93.859649122807,0.973695877050392,570,93.859649122807
10,93.859649122807,0.973695877050392,570,93.859649122807
12,93.859649122807,0.973695877050392,570,93.859649122807
14,93.859649122807,0.973695877050392,570,93.859649122807
16,93.859649122807,0.973695877050392,570,93.859649122807
18,92.4561403508772,0.973695877050392,570,92.4561403508772
20,90.3508771929824,0.973695877050392,570,90.3508771929825
25,89.6491228070176,0.973695877050392,570,89.6491228070176
30,90,0.973695877050392,570,90
35,90.5263157894737,0.973695877050392,570,90.5263157894737
40,91.4035087719298,0.973695877050392,570,91.4035087719298
45,91.4035087719298,0.973695877050392,570,91.4035087719298
50,91.4035087719298,0.973695877050392,570,91.4035087719298
55,91.4035087719298,0.973695877050392,570,91.4035087719298
60,92.280701754386,0.973695877050392,570,92.280701754386
