train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,570,
4,85.7894736842105,0.989972344782453,570,85.7894736842105
6,86.6666666666667,0.98712237961536,570,86.6666666666667
8,75.0877192982456,0.968418163777998,570,75.0877192982456
10,81.2280701754386,0.981823555489877,570,81.2280701754386
12,95.6140350877193,0.992970085921172,570,95.6140350877193
14,96.4912280701754,0.99356118980768,570,96.4912280701754
16,96.140350877193,0.993603411513859,570,96.140350877193
18,97.1929824561404,0.991703434735798,570,97.1929824561404
20,97.8947368421053,0.992737866537187,570,97.8947368421053
25,98.2456140350877,0.993476746395322,570,98.2456140350877
30,97.719298245614,0.99256897971247,570,97.719298245614
35,98.2456140350877,0.993687854926218,570,98.2456140350877
40,97.0175438596491,0.992822309949545,570,97.0175438596491
45,98.2456140350877,0.994954506111592,570,98.2456140350877
50,97.8947368421053,0.99455339990289,570,97.8947368421053
55,97.719298245614,0.993476746395322,570,97.719298245614
60,98.0701754385965,0.994405623931263,570,98.0701754385965
