n,accuracy,cov,mean,lik
4,92.6315789473684,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
5,85.0877192982456,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
6,72.4561403508772,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
7,72.1052631578947,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.5000}"
8,74.9122807017544,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
9,74.7368421052632,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
10,78.9473684210526,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
11,86.8421052631579,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.2000}"
12,81.7543859649123,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.1000}"
13,90.7017543859649,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
14,89.8245614035088,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
15,91.5789473684211,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
16,91.2280701754386,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
17,83.1578947368421,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.5000}"
18,84.2105263157895,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.5000}"
19,87.0175438596491,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
20,89.8245614035088,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
21,87.719298245614,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
22,89.1228070175439,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
23,93.5087719298246,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
24,94.2105263157895,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
25,93.1578947368421,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
26,94.3859649122807,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
27,94.5614035087719,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
28,94.3859649122807,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
29,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
30,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
31,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
32,96.8421052631579,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
33,96.6666666666667,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
34,96.8421052631579,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
