train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,56.3157894736842,0.989719014545378,570,56.3157894736842
4,61.5789473684211,0.584475078637928,570,61.5789473684211
6,89.6491228070176,0.956047203867508,570,89.6491228070176
8,93.5087719298246,0.992231206063037,570,93.5087719298246
10,93.6842105263158,0.992231206063037,570,93.6842105263158
12,97.1929824561404,0.992484536300112,570,97.1929824561404
14,97.1929824561404,0.992484536300112,570,97.1929824561404
16,97.1929824561404,0.992463425447022,570,97.1929824561404
18,97.5438596491228,0.994743397580696,570,97.5438596491228
20,97.5438596491228,0.994722286727607,570,97.5438596491228
25,97.5438596491228,0.994722286727607,570,97.5438596491228
30,96.6666666666667,0.994468956490532,570,96.6666666666667
35,97.5438596491228,0.994891173552323,570,97.5438596491228
40,97.719298245614,0.994912284405413,570,97.719298245614
45,97.719298245614,0.994870062699234,570,97.719298245614
50,98.2456140350877,0.994870062699234,570,98.2456140350877
55,98.2456140350877,0.994870062699234,570,98.2456140350877
60,98.2456140350877,0.994870062699234,570,98.2456140350877
