n,accuracy,cov,mean,lik
4,89.8245614035088,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.2000}"
5,84.5614035087719,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.5000}"
6,84.0350877192982,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
7,85.0877192982456,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
8,89.1228070175439,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
9,89.1228070175439,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
10,87.8947368421053,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.2000}"
11,87.8947368421053,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.2000}"
12,82.6315789473684,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.5000}"
13,92.1052631578947,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.5000}"
14,92.280701754386,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
15,95.6140350877193,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.5000}"
16,95.9649122807018,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.5000}"
17,95.6140350877193,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.5000}"
18,95.6140350877193,    @covSEard,"    @meanZero","{    @likIntervalErf, 0.5000}"
19,96.6666666666667,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
20,96.6666666666667,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.2000}"
21,97.3684210526316,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.5000}"
22,97.5438596491228,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
23,97.8947368421053,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
24,98.0701754385965,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
25,97.8947368421053,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
26,98.0701754385965,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
27,98.0701754385965,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
28,97.719298245614,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalErf, 0.1000}"
