train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,570,
4,97.5438596491228,0.994701175874517,570,97.5438596491228
6,89.1228070175439,0.980451350039055,570,89.1228070175439
8,90.5263157894737,0.977432498047246,570,90.5263157894737
10,90.1754385964912,0.974730308851781,570,90.1754385964912
12,89.2982456140351,0.975954738330976,570,89.2982456140351
14,87.8947368421053,0.966771517237012,570,87.8947368421053
16,89.6491228070176,0.978825814351158,570,89.6491228070176
18,90.3508771929824,0.978614705820262,570,90.3508771929825
20,90.1754385964912,0.979501361650024,570,90.1754385964912
25,92.4561403508772,0.979311363972218,570,92.4561403508772
30,92.1052631578947,0.979839135299457,570,92.1052631578947
35,95.7894736842105,0.989571238573751,570,95.7894736842105
40,96.3157894736842,0.990837889759125,570,96.3157894736842
45,93.1578947368421,0.984082416770462,570,93.1578947368421
50,94.5614035087719,0.987312377293166,570,94.5614035087719
55,96.140350877193,0.991787878148156,570,96.140350877193
60,95.6140350877193,0.990373450991155,570,95.6140350877193
