n,accuracy,cov,mean,lik
4,92.280701754386,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 20}"
5,80.7017543859649,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
6,80.8771929824561,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
7,84.3859649122807,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
8,87.8947368421053,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
9,89.4736842105263,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
10,85.0877192982456,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
11,84.7368421052632,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
12,85.2631578947368,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 15}"
13,84.7368421052632,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
14,83.6842105263158,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
15,83.6842105263158,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
16,85.6140350877193,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 10}"
17,91.9298245614035,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
18,90.7017543859649,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
19,92.4561403508772,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
20,92.4561403508772,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
21,93.5087719298246,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
22,94.5614035087719,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 20}"
23,96.140350877193,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 20}"
24,96.3157894736842,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 15}"
25,96.3157894736842,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
26,95.9649122807018,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
27,96.3157894736842,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
28,96.6666666666667,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
29,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
30,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
31,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
32,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
33,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
34,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
35,96.3157894736842,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
36,96.3157894736842,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
37,96.3157894736842,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
38,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
39,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
40,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
41,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
42,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
43,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
44,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
45,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
46,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
47,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
48,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
49,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
50,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 10}"
51,97.0175438596491,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
52,97.0175438596491,    @covSEard,"{    @meanSum, {    @meanLinear,     @meanConst}}","{    @likIntervalLogistic, 20}"
53,96.4912280701754,    @covSEard,"    @meanZero","{    @likIntervalLogistic, 20}"
