train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,56.3157894736842,0.989719014545378,570,56.3157894736842
4,78.5964912280702,0.903143406025037,570,78.5964912280702
6,78.2456140350877,0.919947645084338,570,78.2456140350877
8,77.5438596491228,0.919103210960755,570,77.5438596491228
10,77.5438596491228,0.921087631151175,570,77.5438596491228
12,78.7719298245614,0.935717452342249,570,78.7719298245614
14,79.1228070175439,0.937068546939982,570,79.1228070175439
16,91.7543859649123,0.992547868859381,570,91.7543859649123
18,91.7543859649123,0.992547868859381,570,91.7543859649123
20,93.6842105263158,0.99256897971247,570,93.6842105263158
25,93.6842105263158,0.992737866537187,570,93.6842105263158
30,94.0350877192983,0.99455339990289,570,94.0350877192983
35,95.7894736842105,0.994891173552323,570,95.7894736842105
40,97.0175438596491,0.994975616964681,570,97.0175438596491
45,96.6666666666667,0.995017838670861,570,96.6666666666667
50,97.719298245614,0.995186725495577,570,97.719298245614
55,97.719298245614,0.995144503789398,570,97.719298245614
60,97.719298245614,0.995165614642488,570,97.719298245614
