train.size,model,accuracy.percent
2,baseline_0,95.680546923555
2,unsup_BIC_1,92.4176507147297
2,unreg_linear_1,90.3977625854568
2,unreg_linear_2,89.3101305158484
2,L1reg_linear_117,
4,baseline_0,95.680546923555
4,unsup_BIC_1,92.4176507147297
4,unreg_linear_1,92.6662523306402
4,unreg_linear_2,93.4431323803605
4,L1reg_linear_117,85.8297078931013
6,baseline_0,89.1858297078931
6,unsup_BIC_1,92.4176507147297
6,unreg_linear_1,95.8669981354879
6,unreg_linear_2,94.4686140459913
6,L1reg_linear_117,85.9850839030454
8,baseline_0,89.1858297078931
8,unsup_BIC_1,92.4176507147297
8,unreg_linear_1,97.669359850839
8,unreg_linear_2,96.7681789931635
8,L1reg_linear_117,95.8048477315103
10,baseline_0,89.1858297078931
10,unsup_BIC_1,92.4176507147297
10,unreg_linear_1,97.669359850839
10,unreg_linear_2,97.4518334369174
10,L1reg_linear_117,96.0845245494096
12,baseline_0,89.1858297078931
12,unsup_BIC_1,92.4176507147297
12,unreg_linear_1,97.669359850839
12,unreg_linear_2,97.5450590428838
12,L1reg_linear_117,95.7116221255438
14,baseline_0,91.1746426351771
14,unsup_BIC_1,92.4176507147297
14,unreg_linear_1,97.0478558110628
14,unreg_linear_2,97.4829086389062
14,L1reg_linear_117,95.0279676817899
16,baseline_0,90.8017402113114
16,unsup_BIC_1,92.4176507147297
16,unreg_linear_1,97.016780609074
16,unreg_linear_2,97.8868862647607
16,L1reg_linear_117,97.1100062150404
18,baseline_0,89.0615288999378
18,unsup_BIC_1,92.4176507147297
18,unreg_linear_1,97.0478558110628
18,unreg_linear_2,97.8247358607831
18,L1reg_linear_117,88.2535736482287
20,baseline_0,89.0615288999378
20,unsup_BIC_1,92.4176507147297
20,unreg_linear_1,97.0478558110628
20,unreg_linear_2,97.9179614667495
20,L1reg_linear_117,96.8303293971411
25,baseline_0,88.5954008701057
25,unsup_BIC_1,92.4176507147297
25,unreg_linear_1,96.9546302050964
25,unreg_linear_2,98.011187072716
25,L1reg_linear_117,93.19453076445
30,baseline_0,88.2224984462399
30,unsup_BIC_1,92.4176507147297
30,unreg_linear_1,96.9546302050964
30,unreg_linear_2,98.011187072716
30,L1reg_linear_117,94.9968924798011
35,baseline_0,87.8495960223741
35,unsup_BIC_1,92.4176507147297
35,unreg_linear_1,96.3642013673089
35,unreg_linear_2,98.1354878806712
35,L1reg_linear_117,96.4885021752641
40,baseline_0,87.7874456183965
40,unsup_BIC_1,92.4176507147297
40,unreg_linear_1,96.4885021752641
40,unreg_linear_2,98.16656308266
40,L1reg_linear_117,96.7992541951523
45,baseline_0,87.7874456183965
45,unsup_BIC_1,92.4176507147297
45,unreg_linear_1,97.4829086389062
45,unreg_linear_2,97.8558110627719
45,L1reg_linear_117,95.5562461155998
50,baseline_0,87.4456183965196
50,unsup_BIC_1,92.4176507147297
50,unreg_linear_1,97.4207582349285
50,unreg_linear_2,97.9490366687384
50,L1reg_linear_117,97.2653822249845
55,baseline_0,87.4456183965196
55,unsup_BIC_1,92.4176507147297
55,unreg_linear_1,97.4207582349285
55,unreg_linear_2,97.9490366687384
55,L1reg_linear_117,95.0901180857676
60,baseline_0,87.4456183965196
60,unsup_BIC_1,92.4176507147297
60,unreg_linear_1,97.4207582349285
60,unreg_linear_2,97.9490366687384
60,L1reg_linear_117,97.2032318210069
65,baseline_0,86.886264760721
65,unsup_BIC_1,92.4176507147297
65,unreg_linear_1,97.4207582349285
65,unreg_linear_2,97.8247358607831
65,L1reg_linear_117,96.6438781852082
70,baseline_0,86.8551895587321
70,unsup_BIC_1,92.4176507147297
70,unreg_linear_1,97.4829086389062
70,unreg_linear_2,97.7936606587943
70,L1reg_linear_117,96.7371037911746
75,baseline_0,86.7308887507769
75,unsup_BIC_1,92.4176507147297
75,unreg_linear_1,97.4207582349285
75,unreg_linear_2,97.8558110627719
75,L1reg_linear_117,96.8614045991299
80,baseline_0,86.7308887507769
80,unsup_BIC_1,92.4176507147297
80,unreg_linear_1,97.4207582349285
80,unreg_linear_2,97.8247358607831
80,L1reg_linear_117,96.7681789931635
85,baseline_0,86.7308887507769
85,unsup_BIC_1,92.4176507147297
85,unreg_linear_1,97.4207582349285
85,unreg_linear_2,97.8247358607831
85,L1reg_linear_117,94.2510876320696
90,baseline_0,87.3523927905531
90,unsup_BIC_1,92.4176507147297
90,unreg_linear_1,97.0789310130516
90,unreg_linear_2,98.0733374766936
90,L1reg_linear_117,94.7482908638906
95,baseline_0,87.3523927905531
95,unsup_BIC_1,92.4176507147297
95,unreg_linear_1,97.2032318210069
95,unreg_linear_2,97.9490366687384
95,L1reg_linear_117,95.4008701056557
100,baseline_0,87.3523927905531
100,unsup_BIC_1,92.4176507147297
100,unreg_linear_1,97.513983840895
100,unreg_linear_2,97.9801118707272
100,L1reg_linear_117,97.1100062150404
200,baseline_0,87.3523927905531
200,unsup_BIC_1,92.4176507147297
200,unreg_linear_1,96.2709757613425
200,unreg_linear_2,97.3275326289621
200,L1reg_linear_117,96.4574269732753
200,baseline_0,87.3523927905531
200,unsup_BIC_1,92.4176507147297
200,unreg_linear_1,96.2709757613425
200,unreg_linear_2,97.3275326289621
200,L1reg_linear_117,96.4574269732753
