train.size,model,accuracy.percent
2,baseline_0,70.1754385964912
2,unsup_BIC_1,91.5789473684211
2,unreg_linear_1,
2,unreg_linear_2,
2,L1reg_linear_117,
4,baseline_0,86.4912280701755
4,unsup_BIC_1,91.5789473684211
4,unreg_linear_1,
4,unreg_linear_2,
4,L1reg_linear_117,
6,baseline_0,86.4912280701755
6,unsup_BIC_1,91.5789473684211
6,unreg_linear_1,
6,unreg_linear_2,
6,L1reg_linear_117,
8,baseline_0,86.4912280701755
8,unsup_BIC_1,91.5789473684211
8,unreg_linear_1,
8,unreg_linear_2,
8,L1reg_linear_117,
10,baseline_0,86.4912280701755
10,unsup_BIC_1,91.5789473684211
10,unreg_linear_1,
10,unreg_linear_2,
10,L1reg_linear_117,
12,baseline_0,86.4912280701755
12,unsup_BIC_1,91.5789473684211
12,unreg_linear_1,
12,unreg_linear_2,
12,L1reg_linear_117,
14,baseline_0,86.4912280701755
14,unsup_BIC_1,91.5789473684211
14,unreg_linear_1,
14,unreg_linear_2,
14,L1reg_linear_117,
16,baseline_0,89.1228070175439
16,unsup_BIC_1,91.5789473684211
16,unreg_linear_1,90.8771929824561
16,unreg_linear_2,91.4035087719298
16,L1reg_linear_117,
18,baseline_0,89.1228070175439
18,unsup_BIC_1,91.5789473684211
18,unreg_linear_1,90.8771929824561
18,unreg_linear_2,91.0526315789474
18,L1reg_linear_117,
20,baseline_0,89.2982456140351
20,unsup_BIC_1,91.5789473684211
20,unreg_linear_1,94.3859649122807
20,unreg_linear_2,94.0350877192983
20,L1reg_linear_117,
25,baseline_0,93.1578947368421
25,unsup_BIC_1,91.5789473684211
25,unreg_linear_1,95.2631578947368
25,unreg_linear_2,97.719298245614
25,L1reg_linear_117,95.7894736842105
30,baseline_0,93.1578947368421
30,unsup_BIC_1,91.5789473684211
30,unreg_linear_1,95.2631578947368
30,unreg_linear_2,97.719298245614
30,L1reg_linear_117,95.7894736842105
35,baseline_0,93.1578947368421
35,unsup_BIC_1,91.5789473684211
35,unreg_linear_1,95.2631578947368
35,unreg_linear_2,97.719298245614
35,L1reg_linear_117,95.7894736842105
40,baseline_0,93.1578947368421
40,unsup_BIC_1,91.5789473684211
40,unreg_linear_1,95.2631578947368
40,unreg_linear_2,97.719298245614
40,L1reg_linear_117,95.6140350877193
45,baseline_0,94.2105263157895
45,unsup_BIC_1,91.5789473684211
45,unreg_linear_1,97.3684210526316
45,unreg_linear_2,97.8947368421053
45,L1reg_linear_117,96.3157894736842
50,baseline_0,94.2105263157895
50,unsup_BIC_1,91.5789473684211
50,unreg_linear_1,97.3684210526316
50,unreg_linear_2,98.2456140350877
50,L1reg_linear_117,95.4385964912281
55,baseline_0,94.2105263157895
55,unsup_BIC_1,91.5789473684211
55,unreg_linear_1,97.1929824561404
55,unreg_linear_2,98.2456140350877
55,L1reg_linear_117,95.4385964912281
60,baseline_0,94.3859649122807
60,unsup_BIC_1,91.5789473684211
60,unreg_linear_1,96.8421052631579
60,unreg_linear_2,95.0877192982456
60,L1reg_linear_117,95.6140350877193
65,baseline_0,94.3859649122807
65,unsup_BIC_1,91.5789473684211
65,unreg_linear_1,96.8421052631579
65,unreg_linear_2,95.0877192982456
65,L1reg_linear_117,95.6140350877193
70,baseline_0,94.0350877192983
70,unsup_BIC_1,91.5789473684211
70,unreg_linear_1,97.1929824561404
70,unreg_linear_2,97.0175438596491
70,L1reg_linear_117,97.719298245614
75,baseline_0,94.0350877192983
75,unsup_BIC_1,91.5789473684211
75,unreg_linear_1,97.1929824561404
75,unreg_linear_2,97.0175438596491
75,L1reg_linear_117,97.719298245614
80,baseline_0,94.0350877192983
80,unsup_BIC_1,91.5789473684211
80,unreg_linear_1,97.1929824561404
80,unreg_linear_2,97.0175438596491
80,L1reg_linear_117,98.0701754385965
85,baseline_0,94.0350877192983
85,unsup_BIC_1,91.5789473684211
85,unreg_linear_1,97.1929824561404
85,unreg_linear_2,97.0175438596491
85,L1reg_linear_117,97.8947368421053
90,baseline_0,94.2105263157895
90,unsup_BIC_1,91.5789473684211
90,unreg_linear_1,97.3684210526316
90,unreg_linear_2,97.0175438596491
90,L1reg_linear_117,96.3157894736842
95,baseline_0,92.6315789473684
95,unsup_BIC_1,91.5789473684211
95,unreg_linear_1,97.3684210526316
95,unreg_linear_2,97.8947368421053
95,L1reg_linear_117,97.8947368421053
100,baseline_0,94.0350877192983
100,unsup_BIC_1,91.5789473684211
100,unreg_linear_1,97.719298245614
100,unreg_linear_2,98.5964912280702
100,L1reg_linear_117,97.719298245614
200,baseline_0,93.859649122807
200,unsup_BIC_1,91.5789473684211
200,unreg_linear_1,97.5438596491228
200,unreg_linear_2,98.421052631579
200,L1reg_linear_117,98.421052631579
300,baseline_0,93.859649122807
300,unsup_BIC_1,91.5789473684211
300,unreg_linear_1,97.5438596491228
300,unreg_linear_2,98.421052631579
300,L1reg_linear_117,97.1929824561404
400,baseline_0,93.859649122807
400,unsup_BIC_1,91.5789473684211
400,unreg_linear_1,97.719298245614
400,unreg_linear_2,98.421052631579
400,L1reg_linear_117,97.0175438596491
500,baseline_0,94.3859649122807
500,unsup_BIC_1,91.5789473684211
500,unreg_linear_1,97.3684210526316
500,unreg_linear_2,98.421052631579
500,L1reg_linear_117,97.3684210526316
600,baseline_0,94.0350877192983
600,unsup_BIC_1,91.5789473684211
600,unreg_linear_1,97.719298245614
600,unreg_linear_2,98.421052631579
600,L1reg_linear_117,97.5438596491228
700,baseline_0,94.3859649122807
700,unsup_BIC_1,91.5789473684211
700,unreg_linear_1,97.5438596491228
700,unreg_linear_2,98.2456140350877
700,L1reg_linear_117,97.719298245614
800,baseline_0,94.5614035087719
800,unsup_BIC_1,91.5789473684211
800,unreg_linear_1,97.5438596491228
800,unreg_linear_2,98.2456140350877
800,L1reg_linear_117,97.8947368421053
900,baseline_0,94.3859649122807
900,unsup_BIC_1,91.5789473684211
900,unreg_linear_1,97.5438596491228
900,unreg_linear_2,98.2456140350877
900,L1reg_linear_117,97.719298245614
1000,baseline_0,94.5614035087719
1000,unsup_BIC_1,91.5789473684211
1000,unreg_linear_1,97.1929824561404
1000,unreg_linear_2,98.2456140350877
1000,L1reg_linear_117,97.8947368421053
2848,baseline_0,94.5614035087719
2848,unsup_BIC_1,91.5789473684211
2848,unreg_linear_1,97.1929824561404
2848,unreg_linear_2,98.5964912280702
2848,L1reg_linear_117,97.8947368421053
