train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,570,
4,,,570,
6,,,570,
8,92.6315789473684,0.976420729920426,570,92.4561403508772
10,90.8771929824561,0.869412321633868,570,90.7017543859649
12,88.9473684210526,0.96095669619711,570,88.9473684210526
14,90.3508771929824,0.953179594689029,570,90.3508771929825
16,91.7543859649123,0.9777056423435,570,91.7543859649123
18,86.6666666666667,0.957665517008183,570,86.6666666666667
20,96.6666666666667,0.983431392439305,570,96.6666666666667
25,96.6666666666667,0.988187822637001,570,96.6666666666667
30,96.6666666666667,0.991704425058046,570,96.6666666666667
35,95.9649122807018,0.990599851220667,570,95.9649122807018
40,96.140350877193,0.988458330515543,570,96.140350877193
45,95.0877192982456,0.990802732129573,570,95.0877192982456
50,96.140350877193,0.988525957485179,570,96.140350877193
55,95.6140350877193,0.988097653344154,570,95.6140350877193
60,95.9649122807018,0.989878496877888,570,95.7894736842105
65,95.0877192982456,0.990780189806361,570,95.0877192982456
70,95.2631578947368,0.99039697031176,570,95.0877192982456
75,93.1578947368421,0.981357498703816,570,93.1578947368421
80,94.9122807017544,0.989720700615405,570,94.7368421052632
85,94.5614035087719,0.981763260521629,570,94.3859649122807
90,95.4385964912281,0.98830053425306,570,95.4385964912281
95,95.7894736842105,0.988571042131602,570,95.7894736842105
100,95.7894736842105,0.988999346272627,570,95.7894736842105
200,97.1929824561404,0.990058835463583,570,97.1929824561404
300,97.0175438596491,0.989540362029711,570,97.0175438596491
400,97.1929824561404,0.991546628795564,570,97.1929824561404
500,97.719298245614,0.994432046166678,570,97.719298245614
600,98.0701754385965,0.994973061923762,570,98.0701754385965
700,97.8947368421053,0.99470255404522,570,97.8947368421053
800,98.421052631579,0.994341876873831,570,98.421052631579
900,98.2456140350877,0.994905434954126,570,98.2456140350877
1000,98.2456140350877,0.994567300105949,570,98.0701754385965
2848,98.2456140350877,0.99569441626654,570,98.2456140350877
