train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,51.9298245614035,0.971709384369153,570,51.9298245614035
4,88.5964912280702,0.971709384369153,570,88.5964912280702
6,93.1578947368421,0.971709384369153,570,93.1578947368421
8,94.2105263157895,0.971709384369153,570,94.2105263157895
10,94.2105263157895,0.971709384369153,570,94.2105263157895
12,94.2105263157895,0.971709384369153,570,94.2105263157895
14,94.2105263157895,0.971709384369153,570,94.2105263157895
16,92.1052631578947,0.971709384369153,570,92.1052631578947
18,92.1052631578947,0.971709384369153,570,92.1052631578947
20,92.1052631578947,0.971709384369153,570,92.1052631578947
25,93.1578947368421,0.971709384369153,570,93.1578947368421
30,93.1578947368421,0.971709384369153,570,93.1578947368421
35,94.2105263157895,0.971709384369153,570,94.2105263157895
40,94.2105263157895,0.971709384369153,570,94.2105263157895
45,94.2105263157895,0.971709384369153,570,94.2105263157895
50,94.2105263157895,0.971709384369153,570,94.2105263157895
55,94.2105263157895,0.971709384369153,570,94.2105263157895
60,94.2105263157895,0.971709384369153,570,94.2105263157895
65,94.3859649122807,0.971709384369153,570,94.3859649122807
70,94.0350877192983,0.971709384369153,570,94.0350877192983
75,94.0350877192983,0.971709384369153,570,94.0350877192983
80,94.0350877192983,0.971709384369153,570,94.0350877192983
85,94.0350877192983,0.971709384369153,570,94.0350877192983
90,94.0350877192983,0.971709384369153,570,94.0350877192983
95,94.0350877192983,0.971709384369153,570,94.0350877192983
100,94.0350877192983,0.971709384369153,570,94.0350877192983
200,94.0350877192983,0.971709384369153,570,94.0350877192983
300,94.3859649122807,0.971709384369153,570,94.3859649122807
400,94.9122807017544,0.971709384369153,570,94.9122807017544
500,94.5614035087719,0.971709384369153,570,94.5614035087719
600,94.3859649122807,0.971709384369153,570,94.3859649122807
700,94.3859649122807,0.971709384369153,570,94.3859649122807
800,94.7368421052632,0.971709384369153,570,94.7368421052632
900,94.7368421052632,0.971709384369153,570,94.5614035087719
1000,94.7368421052632,0.971709384369153,570,94.7368421052632
2848,94.7368421052632,0.971709384369153,570,94.7368421052632
