train.size,model,accuracy.percent
2,baseline_0,83.9361060880048
2,unsup_BIC_1,92.3749246534057
2,unreg_linear_1,
2,unreg_linear_2,16.003616636528
2,L1reg_linear_117,
4,baseline_0,86.618444846293
4,unsup_BIC_1,92.3749246534057
4,unreg_linear_1,96.2025316455696
4,unreg_linear_2,56.7811934900543
4,L1reg_linear_117,91.9228450874021
6,baseline_0,86.5581675708258
6,unsup_BIC_1,92.3749246534057
6,unreg_linear_1,95.2983725135624
6,unreg_linear_2,65.6419529837251
6,L1reg_linear_117,92.7365883062086
8,baseline_0,86.5581675708258
8,unsup_BIC_1,92.3749246534057
8,unreg_linear_1,94.6353224834237
8,unreg_linear_2,79.746835443038
8,L1reg_linear_117,94.7860156720916
10,baseline_0,86.5581675708258
10,unsup_BIC_1,92.3749246534057
10,unreg_linear_1,95.0572634116938
10,unreg_linear_2,77.3056057866184
10,L1reg_linear_117,93.8215792646172
12,baseline_0,86.5581675708258
12,unsup_BIC_1,92.3749246534057
12,unreg_linear_1,97.2573839662447
12,unreg_linear_2,21.3682941531043
12,L1reg_linear_117,87.3417721518987
14,baseline_0,86.8595539481615
14,unsup_BIC_1,92.3749246534057
14,unreg_linear_1,97.2573839662447
14,unreg_linear_2,27.0343580470163
14,L1reg_linear_117,89.4213381555154
16,baseline_0,86.8595539481615
16,unsup_BIC_1,92.3749246534057
16,unreg_linear_1,97.2573839662447
16,unreg_linear_2,26.5822784810127
16,L1reg_linear_117,91.8324291742013
18,baseline_0,86.8595539481615
18,unsup_BIC_1,92.3749246534057
18,unreg_linear_1,97.2573839662447
18,unreg_linear_2,26.6726943942134
18,L1reg_linear_117,95.5997588908981
20,baseline_0,86.8595539481615
20,unsup_BIC_1,92.3749246534057
20,unreg_linear_1,94.4243520192887
20,unreg_linear_2,96.2628089210368
20,L1reg_linear_117,94.0928270042194
25,baseline_0,87.8541289933695
25,unsup_BIC_1,92.3749246534057
25,unreg_linear_1,94.9969861362267
25,unreg_linear_2,97.9204339963834
25,L1reg_linear_117,88.0650994575045
30,baseline_0,87.8541289933695
30,unsup_BIC_1,92.3749246534057
30,unreg_linear_1,94.0325497287523
30,unreg_linear_2,95.8710066305003
30,L1reg_linear_117,96.5943339361061
35,baseline_0,87.8541289933695
35,unsup_BIC_1,92.3749246534057
35,unreg_linear_1,94.0024110910187
35,unreg_linear_2,95.8710066305003
35,L1reg_linear_117,94.8462929475588
40,baseline_0,87.8541289933695
40,unsup_BIC_1,92.3749246534057
40,unreg_linear_1,94.0024110910187
40,unreg_linear_2,95.6901748040989
40,L1reg_linear_117,93.9722724532851
45,baseline_0,87.8541289933695
45,unsup_BIC_1,92.3749246534057
45,unreg_linear_1,94.0024110910187
45,unreg_linear_2,95.6901748040989
45,L1reg_linear_117,96.6847498493068
50,baseline_0,87.8541289933695
50,unsup_BIC_1,92.3749246534057
50,unreg_linear_1,94.0928270042194
50,unreg_linear_2,95.7203134418324
50,L1reg_linear_117,96.5641952983725
55,baseline_0,87.8541289933695
55,unsup_BIC_1,92.3749246534057
55,unreg_linear_1,94.0928270042194
55,unreg_linear_2,95.6901748040989
55,L1reg_linear_117,96.3532248342375
60,baseline_0,87.8541289933695
60,unsup_BIC_1,92.3749246534057
60,unreg_linear_1,94.0928270042194
60,unreg_linear_2,95.6901748040989
60,L1reg_linear_117,95.9011452682339
65,baseline_0,87.1910789632309
65,unsup_BIC_1,92.3749246534057
65,unreg_linear_1,94.0325497287523
65,unreg_linear_2,95.4189270644967
65,L1reg_linear_117,95.7203134418324
70,baseline_0,87.0705244122966
70,unsup_BIC_1,92.3749246534057
70,unreg_linear_1,94.0325497287523
70,unreg_linear_2,95.1476793248945
70,L1reg_linear_117,95.1778179626281
75,baseline_0,87.0705244122966
75,unsup_BIC_1,92.3749246534057
75,unreg_linear_1,94.0325497287523
75,unreg_linear_2,95.1175406871609
75,L1reg_linear_117,95.2983725135624
80,baseline_0,87.0705244122966
80,unsup_BIC_1,92.3749246534057
80,unreg_linear_1,94.0325497287523
80,unreg_linear_2,95.1175406871609
80,L1reg_linear_117,95.8107293550331
85,baseline_0,87.0705244122966
85,unsup_BIC_1,92.3749246534057
85,unreg_linear_1,94.0325497287523
85,unreg_linear_2,95.1476793248945
85,L1reg_linear_117,95.4490657022303
90,baseline_0,87.040385774563
90,unsup_BIC_1,92.3749246534057
90,unreg_linear_1,94.0325497287523
90,unreg_linear_2,94.9969861362267
90,L1reg_linear_117,95.8107293550331
95,baseline_0,87.040385774563
95,unsup_BIC_1,92.3749246534057
95,unreg_linear_1,94.0325497287523
95,unreg_linear_2,94.9969861362267
95,L1reg_linear_117,95.8408679927667
100,baseline_0,87.040385774563
100,unsup_BIC_1,92.3749246534057
100,unreg_linear_1,94.0325497287523
100,unreg_linear_2,94.9969861362267
100,L1reg_linear_117,95.961422543701
100,baseline_0,87.040385774563
100,unsup_BIC_1,92.3749246534057
100,unreg_linear_1,94.0325497287523
100,unreg_linear_2,94.9969861362267
100,L1reg_linear_117,95.961422543701
