n,accuracy
4,95.08771929824562
5,95.08771929824562
6,95.08771929824562
7,95.08771929824562
8,95.08771929824562
9,95.08771929824562
10,95.08771929824562
11,95.26315789473684
12,95.78947368421052
13,95.78947368421052
14,95.43859649122807
15,95.96491228070175
16,96.14035087719299
17,95.78947368421052
18,96.14035087719299
19,96.3157894736842
20,96.14035087719299
21,96.14035087719299
22,62.63157894736842
23,82.63157894736842
24,87.54385964912281
25,63.33333333333333
26,47.368421052631575
27,48.94736842105264
28,61.929824561403514
29,46.31578947368421
30,47.01754385964912
31,45.78947368421053
32,48.94736842105264
33,52.98245614035088
34,57.36842105263158
35,59.473684210526315
36,65.78947368421053
37,74.21052631578947
38,67.01754385964912
39,75.43859649122807
40,77.36842105263158
41,75.43859649122807
42,34.03508771929825
43,32.45614035087719
44,31.403508771929822
45,31.05263157894737
46,30.87719298245614
47,30.175438596491226
48,32.10526315789474
49,31.75438596491228
50,32.80701754385965
51,20.526315789473685
52,33.1578947368421
53,32.45614035087719
54,43.333333333333336
55,43.333333333333336
56,83.6842105263158
57,53.333333333333336
58,20.87719298245614
59,20.87719298245614
60,56.14035087719298
61,71.57894736842105
62,76.31578947368422
63,83.6842105263158
64,16.315789473684212
65,16.315789473684212
66,17.192982456140353
67,56.666666666666664
68,63.1578947368421
69,16.315789473684212
70,18.947368421052634
71,81.75438596491227
72,16.315789473684212
73,16.315789473684212
74,78.7719298245614
75,83.6842105263158
76,65.08771929824562
77,83.6842105263158
78,17.192982456140353
79,97.19298245614036
80,97.19298245614036
81,16.315789473684212
82,60.35087719298245
83,83.6842105263158
84,83.6842105263158
85,83.6842105263158
86,97.36842105263158
87,16.315789473684212
88,83.6842105263158
89,97.19298245614036
90,97.19298245614036
91,30.701754385964914
92,16.315789473684212
93,16.315789473684212
94,97.19298245614036
95,83.50877192982456
96,16.315789473684212
97,16.140350877192983
98,83.50877192982456
99,68.24561403508773
100,83.6842105263158
