train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,570,
4,92.8070175438596,0.977254795879263,570,92.8070175438596
6,93.5087719298246,0.986068844255089,570,93.5087719298246
8,95.6140350877193,0.992515948693672,570,95.6140350877193
10,95.6140350877193,0.992696287279367,570,95.6140350877193
12,95.0877192982456,0.980771398300309,570,95.0877192982456
14,89.8245614035088,0.984152746782083,570,89.8245614035088
16,91.9298245614035,0.987105791122833,570,91.9298245614035
18,95.7894736842105,0.981357498703816,570,95.7894736842105
20,91.7543859649123,0.975564121638376,570,91.7543859649123
25,94.5614035087719,0.988999346272627,570,94.5614035087719
30,90.1754385964912,0.966231599828678,570,90.1754385964912
35,94.7368421052632,0.960618561348933,570,94.7368421052632
40,95.2631578947368,0.963571605689682,570,95.2631578947368
45,97.3684210526316,0.985798336376547,570,97.1929824561404
50,95.9649122807018,0.967471427605329,570,95.7894736842105
55,96.6666666666667,0.983792069610694,570,96.6666666666667
60,95.9649122807018,0.967426342958905,570,95.7894736842105
65,95.9649122807018,0.989810869908253,570,95.9649122807018
70,91.5789473684211,0.986993079506774,570,91.5789473684211
75,96.140350877193,0.99039697031176,570,96.140350877193
80,95.9649122807018,0.988954261626203,570,95.9649122807018
85,96.3157894736842,0.988368161222696,570,96.3157894736842
90,96.3157894736842,0.989607988999346,570,96.3157894736842
95,97.1929824561404,0.989517819706499,570,97.1929824561404
100,96.8421052631579,0.987241045062104,570,96.8421052631579
