n,accuracy
4,90.17543859649123
5,90.52631578947368
6,90.35087719298247
7,90.35087719298247
8,91.05263157894737
9,90.35087719298247
10,92.63157894736842
11,94.91228070175438
12,97.36842105263158
13,94.91228070175438
14,94.56140350877193
15,93.50877192982456
16,97.71929824561404
17,97.89473684210527
18,97.89473684210527
19,97.71929824561404
20,93.50877192982456
21,96.66666666666667
22,96.49122807017544
23,96.49122807017544
24,94.91228070175438
25,96.66666666666667
26,97.89473684210527
27,96.49122807017544
28,97.71929824561404
29,98.0701754385965
30,96.49122807017544
31,94.73684210526315
32,94.56140350877193
33,94.73684210526315
34,94.38596491228071
35,94.73684210526315
36,94.73684210526315
37,94.73684210526315
38,94.56140350877193
39,95.26315789473684
40,94.91228070175438
41,94.73684210526315
42,94.73684210526315
43,94.73684210526315
44,98.0701754385965
45,97.71929824561404
46,96.49122807017544
47,96.49122807017544
48,97.36842105263158
49,96.66666666666667
50,94.73684210526315
51,97.01754385964912
52,96.84210526315789
53,96.3157894736842
54,96.66666666666667
55,96.49122807017544
56,96.3157894736842
57,96.49122807017544
58,95.6140350877193
59,96.3157894736842
60,95.6140350877193
61,95.78947368421052
62,95.78947368421052
63,95.78947368421052
64,95.78947368421052
65,95.78947368421052
66,52.63157894736842
67,73.68421052631578
68,66.66666666666666
69,79.82456140350878
70,80.52631578947368
71,95.96491228070175
72,95.96491228070175
73,95.96491228070175
74,96.49122807017544
75,61.40350877192983
76,77.71929824561403
77,81.75438596491227
78,41.05263157894737
79,96.49122807017544
80,25.438596491228072
81,21.929824561403507
82,82.63157894736842
83,58.42105263157895
84,72.28070175438597
85,82.10526315789474
86,43.684210526315795
87,81.05263157894737
88,71.9298245614035
89,50.526315789473685
90,64.91228070175438
91,96.66666666666667
92,96.66666666666667
93,84.21052631578947
94,31.57894736842105
95,80.35087719298247
96,82.45614035087719
97,34.03508771929825
98,38.24561403508772
99,87.19298245614036
100,60.70175438596491
