train.size,model,accuracy.percent
2,baseline_0,93.5804701627487
2,unsup_BIC_1,91.8625678119349
2,unreg_linear_1,91.9831223628692
2,unreg_linear_2,91.9831223628692
2,L1reg_linear_117,
4,baseline_0,93.2489451476793
4,unsup_BIC_1,91.8625678119349
4,unreg_linear_1,91.9831223628692
4,unreg_linear_2,91.9831223628692
4,L1reg_linear_117,91.9831223628692
6,baseline_0,86.5883062085594
6,unsup_BIC_1,91.8625678119349
6,unreg_linear_1,96.2326702833032
6,unreg_linear_2,94.8764315852923
6,L1reg_linear_117,92.5256178420736
8,baseline_0,86.5883062085594
8,unsup_BIC_1,91.8625678119349
8,unreg_linear_1,94.1832429174201
8,unreg_linear_2,94.3640747438216
8,L1reg_linear_117,91.3803496081977
10,baseline_0,86.5883062085594
10,unsup_BIC_1,91.8625678119349
10,unreg_linear_1,94.1832429174201
10,unreg_linear_2,98.0108499095841
10,L1reg_linear_117,91.9228450874021
12,baseline_0,86.5883062085594
12,unsup_BIC_1,91.8625678119349
12,unreg_linear_1,94.122965641953
12,unreg_linear_2,97.3477998794455
12,L1reg_linear_117,95.9011452682339
14,baseline_0,86.5883062085594
14,unsup_BIC_1,91.8625678119349
14,unreg_linear_1,94.122965641953
14,unreg_linear_2,96.3230861965039
14,L1reg_linear_117,94.4544906570223
16,baseline_0,86.5883062085594
16,unsup_BIC_1,91.8625678119349
16,unreg_linear_1,94.122965641953
16,unreg_linear_2,96.4737793851718
16,L1reg_linear_117,95.9312839059674
18,baseline_0,86.5883062085594
18,unsup_BIC_1,91.8625678119349
18,unreg_linear_1,94.0325497287523
18,unreg_linear_2,96.5039180229054
18,L1reg_linear_117,95.4490657022303
20,baseline_0,86.9801084990959
20,unsup_BIC_1,91.8625678119349
20,unreg_linear_1,94.1531042796866
20,unreg_linear_2,95.9915611814346
20,L1reg_linear_117,94.3640747438216
25,baseline_0,86.9801084990959
25,unsup_BIC_1,91.8625678119349
25,unreg_linear_1,94.122965641953
25,unreg_linear_2,96.3532248342375
25,L1reg_linear_117,94.0024110910187
30,baseline_0,89.2103676913804
30,unsup_BIC_1,91.8625678119349
30,unreg_linear_1,96.8655816757083
30,unreg_linear_2,95.4490657022303
30,L1reg_linear_117,90.084388185654
35,baseline_0,88.667872212176
35,unsup_BIC_1,91.8625678119349
35,unreg_linear_1,96.8655816757083
35,unreg_linear_2,96.5340566606389
35,L1reg_linear_117,85.3827606992164
40,baseline_0,89.0596745027125
40,unsup_BIC_1,91.8625678119349
40,unreg_linear_1,97.1368294153104
40,unreg_linear_2,96.4135021097047
40,L1reg_linear_117,89.9035563592526
45,baseline_0,89.0596745027125
45,unsup_BIC_1,91.8625678119349
45,unreg_linear_1,97.166968053044
45,unreg_linear_2,97.4683544303798
45,L1reg_linear_117,93.7311633514165
50,baseline_0,89.0596745027125
50,unsup_BIC_1,91.8625678119349
50,unreg_linear_1,97.166968053044
50,unreg_linear_2,97.4683544303798
50,L1reg_linear_117,93.3996383363472
55,baseline_0,89.0596745027125
55,unsup_BIC_1,91.8625678119349
55,unreg_linear_1,97.166968053044
55,unreg_linear_2,97.4683544303798
55,L1reg_linear_117,93.7914406268837
60,baseline_0,89.0596745027125
60,unsup_BIC_1,91.8625678119349
60,unreg_linear_1,97.166968053044
60,unreg_linear_2,97.4683544303798
60,L1reg_linear_117,93.7311633514165
65,baseline_0,89.0596745027125
65,unsup_BIC_1,91.8625678119349
65,unreg_linear_1,97.166968053044
65,unreg_linear_2,97.4683544303798
65,L1reg_linear_117,93.7010247136829
70,baseline_0,89.0596745027125
70,unsup_BIC_1,91.8625678119349
70,unreg_linear_1,96.7148884870404
70,unreg_linear_2,97.5587703435805
70,L1reg_linear_117,93.6407474382158
75,baseline_0,89.0596745027125
75,unsup_BIC_1,91.8625678119349
75,unreg_linear_1,96.6847498493068
75,unreg_linear_2,97.5587703435805
75,L1reg_linear_117,93.6106088004822
80,baseline_0,89.0596745027125
80,unsup_BIC_1,91.8625678119349
80,unreg_linear_1,96.6546112115732
80,unreg_linear_2,97.6190476190476
80,L1reg_linear_117,93.6106088004822
85,baseline_0,89.0596745027125
85,unsup_BIC_1,91.8625678119349
85,unreg_linear_1,96.6546112115732
85,unreg_linear_2,97.6190476190476
85,L1reg_linear_117,93.4900542495479
90,baseline_0,89.0596745027125
90,unsup_BIC_1,91.8625678119349
90,unreg_linear_1,96.5340566606389
90,unreg_linear_2,97.6190476190476
90,L1reg_linear_117,94.8462929475588
95,baseline_0,89.0596745027125
95,unsup_BIC_1,91.8625678119349
95,unreg_linear_1,96.5641952983725
95,unreg_linear_2,97.7094635322483
95,L1reg_linear_117,94.8462929475588
100,baseline_0,89.0596745027125
100,unsup_BIC_1,91.8625678119349
100,unreg_linear_1,96.5641952983725
100,unreg_linear_2,97.6793248945148
100,L1reg_linear_117,95.8710066305003
100,baseline_0,89.0596745027125
100,unsup_BIC_1,91.8625678119349
100,unreg_linear_1,96.5641952983725
100,unreg_linear_2,97.6793248945148
100,L1reg_linear_117,95.8710066305003
