"","predict","y.lower","y.upper"
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:37856694-109373470",37484.93359375,15671.3481993227,154757.262386538
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr14:19000000-107289540",104529.0625,5799.07336799802,137019.422861782
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:62460760-77546461",77498.5625,2047.84543288499,Inf
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr3:60000-66170270",23028.216796875,5477.88586443665,842603.108832316
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr8:86726451-142766515",30200.5859375,6791.69096184522,462307.257401295
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr9:92678796-133073060",40942.05859375,85854.9888714496,267473.795927031
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr12:37856694-109373470",58579.82421875,12094.4466193318,293204.871660056
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr14:19000000-107289540",113786.84375,3509.02851113676,280715.859850644
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr17:62460760-77546461",107995.5859375,2423.75604880229,Inf
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr3:60000-66170270",35054.61328125,7442.46872484687,10588.5107287317
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr8:86726451-142766515",45101.1640625,19971.6725094542,778720.141556294
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr9:92678796-133073060",45254.6328125,31302.0566620819,197452.368554095
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr12:37856694-109373470",83705.1953125,17410.4566771835,369585.001886357
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr14:19000000-107289540",85204.046875,3996.76191064716,423781.641961029
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr17:62460760-77546461",83272.21875,4655.2810732499,Inf
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr3:60000-66170270",40134.69921875,15018.4137527347,1285142.94896782
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr8:86726451-142766515",45791.8359375,23678.8333031164,1227721.04583239
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr9:92678796-133073060",59625.01953125,27032.1292012415,270735.970325439
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr12:37856694-109373470",47349.80078125,20403.4010639786,572563.514663546
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr14:19000000-107289540",79501.5,5262.0394797921,572631.818737677
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr17:62460760-77546461",398171.5,4904.18603520843,Inf
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr3:60000-66170270",34992.35546875,16055.2629238219,24989.939408065
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr8:86726451-142766515",69259.5625,48659.1086113172,1795707.45866502
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr9:92678796-133073060",92814.3359375,40201.1659545003,561389.926906048
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr12:37856694-109373470",72321.109375,24081.1689248826,420970.119729139
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr14:19000000-107289540",142350.40625,7971.51658371094,576646.628048935
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr17:62460760-77546461",190031.90625,3226.44957535993,Inf
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr3:60000-66170270",81111.75,19186.3821380064,1963486.25551453
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr8:86726451-142766515",83511.9140625,26772.1118888862,1107811.8180899
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr9:92678796-133073060",56295.6015625,33855.7119636819,225912.415542629
"H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr12:37856694-109373470",65285.85546875,10856.8888287991,299372.470511703
"H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr14:19000000-107289540",72101.015625,6151.95738875865,404307.745813434
"H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr17:62460760-77546461",144890.796875,4721.29283090679,Inf
"H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr3:60000-66170270",42816.8984375,9290.45248728985,1893313.34846498
