"","predict","y.lower","y.upper"
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:37856694-109373470",45613.921875,15671.3481993227,154757.262386538
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr14:19000000-107289540",51085.0703125,5799.07336799802,137019.422861782
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:62460760-77546461",83674.2265625,2047.84543288499,Inf
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr3:60000-66170270",27653.84375,5477.88586443665,842603.108832316
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr8:86726451-142766515",40409.07421875,6791.69096184522,462307.257401295
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr9:92678796-133073060",45071.06640625,85854.9888714496,267473.795927031
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr12:37856694-109373470",72057.7109375,12094.4466193318,293204.871660056
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr14:19000000-107289540",73149.75,3509.02851113676,280715.859850644
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr17:62460760-77546461",99665.6953125,2423.75604880229,Inf
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr3:60000-66170270",36146.40234375,7442.46872484687,10588.5107287317
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr8:86726451-142766515",46892.87109375,19971.6725094542,778720.141556294
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr9:92678796-133073060",51786.21875,31302.0566620819,197452.368554095
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr12:37856694-109373470",81693.9921875,17410.4566771835,369585.001886357
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr14:19000000-107289540",80211.125,3996.76191064716,423781.641961029
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr17:62460760-77546461",87347.96875,4655.2810732499,Inf
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr3:60000-66170270",44237.43359375,15018.4137527347,1285142.94896782
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr8:86726451-142766515",58181.62890625,23678.8333031164,1227721.04583239
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr9:92678796-133073060",63404.31640625,27032.1292012415,270735.970325439
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr12:37856694-109373470",49657.95703125,20403.4010639786,572563.514663546
