"","predict","y.lower","y.upper"
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr1:206482221-223747846",4508.31689453125,1851.62434974312,14457.5908959508
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr3:60000-66170270",4601.62158203125,5815.05136060714,25625.9280322779
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr1:206482221-223747846",4414.755859375,1728.24316185713,16316.0301143825
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr3:60000-66170270",4708.10498046875,4362.17331439256,35488.0022932881
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr1:206482221-223747846",4448.6767578125,1972.70230975748,22439.2514795209
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr3:60000-66170270",4708.10498046875,7027.64789426328,33617.7008156765
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr1:206482221-223747846",4473.94921875,1143.49338498712,6478.23583570123
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr22:20700000-50364777",4373.095703125,5753.41277921203,9314.48905694487
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr3:60000-66170270",4601.62158203125,4627.28124481441,11351.6629081964
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr1:206482221-223747846",4403.1591796875,853.597045265143,4596.45844042301
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr22:20700000-50364777",4464.01904296875,2254.11069864035,6128.08978015182
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr3:60000-66170270",4497.529296875,3911.84603661298,13267.7926518917
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr1:206482221-223747846",4508.31689453125,1414.62537926436,8072.35754081608
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr22:20700000-50364777",4324.3818359375,4114.39441132546,5025.93989217283
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr3:60000-66170270",4556.4072265625,3047.18445703386,11860.9764765501
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr1:206482221-223747846",4336.56494140625,674129.739822147,Inf
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr22:20700000-50364777",4151.90966796875,14303.4849610329,27152.439865827
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr3:60000-66170270",4453.337890625,5398.47258055209,6530.52929985525
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr1:206482221-223747846",4508.31689453125,2632.70887184144,4655.74126309155
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr22:20700000-50364777",4329.03662109375,3567.99906290531,13043.4502084851
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr3:60000-66170270",4601.62158203125,5396.75329566004,9430.5977965593
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr1:206482221-223747846",4508.31689453125,1397.98839046061,17034.1070631147
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr22:20700000-50364777",4464.01904296875,10995.5308030247,24100.5606817011
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr3:60000-66170270",4651.6923828125,4873.7241578698,27138.7491453289
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr1:206482221-223747846",4508.31689453125,1875.12300944328,5497.25095337628
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr22:20700000-50364777",4464.01904296875,7245.44842433929,16561.7035666704
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr3:60000-66170270",4601.62158203125,4092.78820830586,12685.0941283107
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr1:206482221-223747846",4508.31689453125,1424.74497696757,21500.7773768901
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr22:20700000-50364777",4464.01904296875,6713.39975976944,32288.2997263672
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr3:60000-66170270",4651.6923828125,5992.00962483883,30860.2602159977
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chr1:206482221-223747846",4448.6767578125,2606.21700929104,15733.8102342487
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chr3:60000-66170270",4708.10498046875,5064.86578583716,37614.7138958866
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chr1:206482221-223747846",4448.6767578125,2506.00913226605,14984.4853616953
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chr3:60000-66170270",4708.10498046875,4939.66865253449,48511.6921532728
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chr1:206482221-223747846",4448.6767578125,3985.45049005747,24376.6746591923
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chr3:60000-66170270",4708.10498046875,6761.50410771369,50977.38393456
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chr1:206482221-223747846",3170.86572265625,1882.88074893504,3150.53604780137
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chr3:60000-66170270",3424.55639648438,3744.13380974159,20742.6675221585
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chr1:206482221-223747846",4448.6767578125,549.1429041028,1002.01265370846
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chr3:60000-66170270",4708.10498046875,4757.07844793796,24045.9818829291
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chr1:206482221-223747846",4180.16552734375,678.433954298496,4199.29237079621
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chr3:60000-66170270",4514.60693359375,1109.1693238914,4995.96602100136
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chr1:206482221-223747846",4414.755859375,720.712041974067,5861.85720414668
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chr3:60000-66170270",4708.10498046875,3140.89731681348,26039.8007368753
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chr1:206482221-223747846",4448.6767578125,778.147247731684,19891.0235373974
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chr3:60000-66170270",4708.10498046875,4397.95169001817,17006.5108237863
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr1:206482221-223747846",3853.572265625,833.813007577014,1093.3309567906
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr22:20700000-50364777",4473.94921875,4066.79315678775,9763.34781415762
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr3:60000-66170270",4514.60693359375,1660.95584303141,9440.05961956086
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr1:206482221-223747846",4180.16552734375,575.39800149575,1691.47403232754
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr22:20700000-50364777",4508.31689453125,3483.4540169835,5242.93234854937
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr3:60000-66170270",4514.60693359375,2074.883673653,26072.9101647293
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr1:206482221-223747846",4508.31689453125,967.051718980077,1255.13851115107
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr22:20700000-50364777",4464.01904296875,15109.8387570381,20489.763468504
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr3:60000-66170270",4651.6923828125,5892.4528461695,7848.45931398869
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr1:206482221-223747846",4294.5283203125,820.516227535905,1515.16268126667
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr22:20700000-50364777",4508.31689453125,907.837814450262,1998.51174855231
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr3:60000-66170270",4638.11962890625,3487.46876981856,14891.2470614017
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr1:206482221-223747846",4448.6767578125,931.10041452944,17349.7740158737
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr22:20700000-50364777",4508.31689453125,6778.07084637878,30384.4960909475
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr3:60000-66170270",4708.10498046875,5805.06465864182,29104.8961516029
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr1:206482221-223747846",4508.31689453125,1152.68178269267,2435.40950495004
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr22:20700000-50364777",4373.095703125,1793.59739172459,2019.71620750427
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr3:60000-66170270",4601.62158203125,5582.42478823661,25378.1487883318
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr1:206482221-223747846",4344.90234375,1078.86884152889,7574.95008198914
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr22:20700000-50364777",4508.31689453125,4080.08654356002,4587.96627110241
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr3:60000-66170270",4708.10498046875,3240.32959187032,13511.3722803592
"ATAC_JV_adipose/samples/Ai/MSC77/problems/chr1:206482221-223747846",4448.6767578125,1032.56586351991,1043.19474311173
"ATAC_JV_adipose/samples/Ai/MSC77/problems/chr3:60000-66170270",4708.10498046875,6175.04018115999,31223.1302618966
"ATAC_JV_adipose/samples/Ai/MSC80/problems/chr1:206482221-223747846",4448.6767578125,1028.0809485664,6197.93110734223
"ATAC_JV_adipose/samples/Ai/MSC80/problems/chr3:60000-66170270",4708.10498046875,3746.48449933529,5173.87537825106
"ATAC_JV_adipose/samples/Ai/MSC83/problems/chr1:206482221-223747846",4180.16552734375,1012.95596833527,1740.09118282796
"ATAC_JV_adipose/samples/Ai/MSC83/problems/chr3:60000-66170270",4582.728515625,3340.56287473439,10968.7808873355
"ATAC_JV_adipose/samples/Ai/MSC91/problems/chr1:206482221-223747846",4330.208984375,706.055069118737,895.097858116033
"ATAC_JV_adipose/samples/Ai/MSC91/problems/chr3:60000-66170270",4708.10498046875,4418.56796726584,8232.21836286784
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr1:206482221-223747846",4297.19140625,1083.36740338803,9619.98768627644
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr22:20700000-50364777",4508.31689453125,1261.7512037158,12014.7857295274
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr3:60000-66170270",4464.35107421875,2829.67509612442,21103.8804823757
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr1:206482221-223747846",4210.88623046875,2468.07100906967,12583.5894954727
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr22:20700000-50364777",4508.31689453125,9308.56914085151,15008.8651090563
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr3:60000-66170270",4464.35107421875,3179.50778454543,34623.06356907
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr1:206482221-223747846",4448.6767578125,1339.38836225867,16266.5309897959
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr22:20700000-50364777",4508.31689453125,21699.9293786883,23630.3512110122
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr3:60000-66170270",4708.10498046875,4290.66544792056,59395.5016604055
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chr1:206482221-223747846",4180.16552734375,2153.65314958244,8223.16585441676
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chr22:20700000-50364777",4508.31689453125,4345.59462347625,11528.0689491928
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chr3:60000-66170270",4514.60693359375,2662.98421028256,15386.7845428587
