"","predict","y.lower","y.upper"
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516",43286.1382701572,5787.7291330248,382061.420951773
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr16:46385801-88389383",32431.6479790577,4698.66121953727,238276.567801159
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:34725848-62410760",41508.5137186501,2776.76762987302,272372.92909847
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr18:18510898-52059136",38900.0342658806,20460.0370747336,1189349.14223769
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr4:75452279-191044276",40415.4625451902,2735.72289869934,471901.590677784
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516",42710.899711439,69460.0236376265,1122193.13087311
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr16:46385801-88389383",31073.9930295186,4712.53111052513,592855.357653935
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr17:34725848-62410760",40402.9631202592,2764.39725466071,487587.570291579
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr18:18510898-52059136",38624.8254274791,7945.98332604024,1318007.08995072
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr4:75452279-191044276",39651.7812137717,2992.5580206439,1914708.38704388
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516",44741.874787618,72163.3957111316,1050483.98706702
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr16:46385801-88389383",35369.5401346496,12282.5997410417,821974.164818827
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr17:34725848-62410760",42780.8404532327,3291.34721525015,424103.037268939
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr18:18510898-52059136",42439.3914411533,7472.32113686948,2074191.06149025
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr4:75452279-191044276",40763.538632681,2894.76660314201,2196982.87287355
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr11:96437584-134946516",42232.8926168503,367116.047393725,3521476.1750561
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr16:46385801-88389383",30046.7296516267,16324.5146542788,1433525.587583
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr17:34725848-62410760",37464.8195735792,16193.2239933311,1119286.91680513
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr18:18510898-52059136",38862.7232467441,12664.2370116859,3106267.2059529
