"","predict","y.lower","y.upper"
"H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921",18565.275390625,19329.7523525431,Inf
"H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000",33176.2578125,28221.1277269134,1076055.69439545
"H3K36me3_TDH_other/samples/kidneyCancer/McGill0022/problems/chr16:60000-8636921",47981.65234375,9714.80178009722,Inf
"H3K36me3_TDH_other/samples/kidneyCancer/McGill0022/problems/chr16:8686921-32000000",22701.357421875,78964.6703328165,816171.290146076
"H3K36me3_TDH_other/samples/skeletalMuscleCtrl/McGill0019/problems/chr16:60000-8636921",15062.74609375,30910.6409498566,1923916.74133953
"H3K36me3_TDH_other/samples/skeletalMuscleCtrl/McGill0019/problems/chr16:8686921-32000000",99294.1796875,15467.5587655622,103929.627030252
"H3K36me3_TDH_other/samples/skeletalMuscleCtrl/McGill0036/problems/chr16:60000-8636921",60891.421875,179933.1192776,4990780.39593902
"H3K36me3_TDH_other/samples/skeletalMuscleCtrl/McGill0036/problems/chr16:8686921-32000000",22701.357421875,41048.0342240346,299839.167637761
"H3K36me3_TDH_other/samples/skeletalMuscleCtrl/McGill0037/problems/chr16:60000-8636921",35719.35546875,24858.8434531086,3847082.98913224
"H3K36me3_TDH_other/samples/skeletalMuscleCtrl/McGill0037/problems/chr16:8686921-32000000",22429.1328125,43146.406382652,364490.39293459
"H3K36me3_TDH_other/samples/skeletalMuscleMD/McGill0012/problems/chr16:60000-8636921",13555.1083984375,49885.8250286423,1327230.40629887
"H3K36me3_TDH_other/samples/skeletalMuscleMD/McGill0012/problems/chr16:8686921-32000000",30917.06640625,14598.2234503553,99712.5275753875
"H3K36me3_TDH_other/samples/skeletalMuscleMD/McGill0013/problems/chr16:60000-8636921",27694.22265625,73101.8162259977,2845449.96426187
"H3K36me3_TDH_other/samples/skeletalMuscleMD/McGill0013/problems/chr16:8686921-32000000",27596.09375,53835.2581538869,414908.047243955
"H3K36me3_TDH_other/samples/skeletalMuscleMD/McGill0016/problems/chr16:60000-8636921",27658.37890625,80592.0464392811,3717814.36699563
"H3K36me3_TDH_other/samples/skeletalMuscleMD/McGill0016/problems/chr16:8686921-32000000",23152.45703125,26375.9536833609,217076.143452055
