sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr11:96437584-134946516,0,0,0,2,117,1.73547261710608,3.16105849232854,38508932,811205,0,0,0,1.09861228866811,4.77068462446567,1.00630422427463,1.42576948717875,17.4664007983182,13.6062773082414,-Inf,-Inf,-Inf,0.693147180559945,4.76217393479776,0.551279778094438,1.15090693743701,17.4664007723502,13.6062760755081,,,,-0.366512920581664,1.56070427297465,-0.595512834461132,0.140550272810628,2.86027907958597,2.61053116243494
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr1:103913906-120697156,0,0,1,2,143,1.91850279296322,3.5030894465702,16783250,387699,0,0,0.693147180559945,1.09861228866811,4.969813299576,1.07107074264711,1.50476370489524,16.6358919827883,12.867987123659,-Inf,-Inf,0,0.693147180559945,4.96284463025991,0.651545086509503,1.25364527816575,16.6358919232051,12.8679845443418,,,-Inf,-0.366512920581664,1.60197909050574,-0.428408680652865,0.226055529918701,2.8115625252982,2.55474240828356
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr1:30028082-91800000,0,0,1,2,133,1.81902520818602,3.38961822511588,61771918,1357632,0,0,0.693147180559945,1.09861228866811,4.89783979995091,1.03639115433606,1.47924225863935,17.9389594340505,14.1212533002084,-Inf,-Inf,0,0.693147180559945,4.89034912822175,0.598300757706054,1.22071729709056,17.9389594178619,14.121252563632,,,-Inf,-0.366512920581664,1.58726369730255,-0.513661712155307,0.199438634406089,2.88697485148472,2.64768093660326
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr2:110251337-149690582,0,0,1,2,176,1.8189704189317,3.14339920036368,39439245,862270,0,0,0.693147180559945,1.09861228866811,5.17614973257383,1.0363717186153,1.42151651383926,17.4902719698689,13.667324885388,-Inf,-Inf,0,0.693147180559945,5.17048399503815,0.59827063713421,1.14530476227426,17.4902719445135,13.6673237256591,,,-Inf,-0.366512920581664,1.64296630020017,-0.513712056952082,0.135670769514923,2.86164483748101,2.61500785436776
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr3:60000-66170270,0,0,0,2,147,1.73545158717397,3.1413978029171,66110270,1401442,0,0,0,1.09861228866811,4.99721227376411,1.0062965363845,1.4210333644067,18.0068346785299,14.15301297805,-Inf,-Inf,-Inf,0.693147180559945,4.99043258677874,0.55126766032357,1.14466786103045,18.0068346634037,14.1530122644994,,,,-0.366512920581664,1.60752259674322,-0.595534815866097,0.135114517222867,2.89075138934945,2.64992748231668
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr3:93504854-194041961,0,0,1,3,151,1.98146364008664,3.39193123335843,100537107,2367597,0,0,0.693147180559945,1.38629436111989,5.02388052084628,1.09241433433196,1.47976904683475,18.4260374511442,14.6773864970611,-Inf,-Inf,0,1.09861228866811,5.01727983681492,0.68383578378867,1.22139944453973,18.4260374411976,14.677386074692,,,-Inf,0.0940478276166991,1.61288792166534,-0.380037472364234,0.199997287033361,2.9137647426611,2.68630794702466
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr4:1478646-8799203,0,0,0,1,182,0.906465587249713,2.50050777168532,7320557,86734,0,0,0,0.693147180559945,5.20948615284142,0.645251049929502,1.252908035597,15.8061971125404,11.3706127721955,-Inf,-Inf,-Inf,0,5.2040066870768,-0.0982022117254501,0.916493819924507,15.8061969759388,11.370601242758,,,,-Inf,1.64942884563729,,-0.0871999548516731,2.76040207680426,2.4310311861144
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr4:75452279-190000000,0,0,1,3,142,2.11540426893347,3.43072983035689,114547721,2842301,0,0,0.693147180559945,1.38629436111989,4.96284463025991,1.1363589251776,1.4885643177466,18.5565020801536,14.8601248451886,-Inf,-Inf,0,1.09861228866811,4.95582705760126,0.749245937936379,1.23277301707341,18.5565020714236,14.860124493361,,,-Inf,0.0940478276166991,1.60056406759735,-0.288687994306395,0.20926611727078,2.92082024361678,2.69868141700425
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr5:100000-17500000,0,0,0,2,81,1.54272988505747,2.78374481175888,17400000,327784,0,0,0,1.09861228866811,4.40671924726425,0.933238261788305,1.3307142101626,16.671980821656,12.7001131846353,-Inf,-Inf,-Inf,0.693147180559945,4.39444915467244,0.433553499765847,1.02379707582798,16.6719807641848,12.7001101338505,,,,-0.366512920581664,1.48034218873659,-0.835740076844999,0.0235183388426824,2.81372951179059,2.54161066538367
H3K4me3_TDH_other/samples/kidneyCancer/McGill0022/problems/chr11:96437584-134946516,0,0,1,2,698,2.59189244718602,14.1249998570499,38508932,1338627,0,0,0.693147180559945,1.09861228866811,6.54965074223381,1.27867920767152,2.71634899446566,17.4664007983182,14.1071557668063,-Inf,-Inf,0,0.693147180559945,6.54821910276237,0.952388283487926,2.64794626691214,17.4664007723502,14.1071550197725,,,-Inf,-0.366512920581664,1.8791931199696,-0.0487824665367364,0.973784345917269,2.86027907958597,2.64668211688663
