"","predict","y.lower","y.upper"
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr14:19050000-107289540",12073.537109375,3620.3111691475,49394.6505897056
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr14:19050000-107289540",10379.7099609375,1742.98897647858,5776.62073040009
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr14:19050000-107289540",14181.158203125,2274.42731249333,42576.4614652413
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr14:19050000-107289540",12794.7099609375,2608.30915248395,143954.050674444
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr10:51448845-125869472",8262.193359375,4446.75459480284,68200.9523963901
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr12:66500000-109373470",9623.201171875,1707.68088537455,34911.0239542437
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr14:19050000-107289540",8667.51171875,1964.66456162929,21650.0807595252
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr2:162200000-234003741",10003.587890625,2926.74081492423,22007.7560333014
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr8:48135599-86500000",9430.1982421875,4369.94336387517,67201.2963832584
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr8:87000000-142766515",13477.689453125,2159.39192268254,26006.6050477026
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr10:51448845-125869472",10044.5029296875,5699.4715767503,69037.8719188592
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr12:66500000-109373470",9300.673828125,2495.09777479371,30781.0988642581
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr14:19050000-107289540",11046.677734375,2023.64851808548,46859.0998926186
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr2:162200000-234003741",9998.3798828125,2321.28980606795,21773.1649616361
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr8:48135599-86500000",9516.041015625,2453.24906358123,72839.5119508183
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr8:87000000-142766515",12822.87890625,5926.39921599627,48991.6189594845
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr10:51448845-125869472",6859.5224609375,6353.39963436124,61038.7926802611
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr12:66500000-109373470",8472.5927734375,2976.02290604511,27674.2318315504
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr14:19050000-107289540",8293.3291015625,4572.66288542747,23005.0954025984
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr2:162200000-234003741",7848.02783203125,2238.33135867119,12212.1028676033
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr8:48135599-86500000",7584.21630859375,3316.25311619043,6100.97204411028
