"","predict","y.lower","y.upper"
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835",4283.15771484375,5391.24314835668,90131.9909029946
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378",12060.2109375,2539.76579535008,161227.465693113
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr4:75452279-190000000",9841.267578125,26851.0086849941,198750.171150142
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr10:18024675-38818835",2562.15673828125,4448.97668403388,64713.1946558819
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr11:69774695-87688378",6930.630859375,1008.76729662716,11154.6085308492
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr4:75452279-190000000",10485.689453125,28865.2882731858,168195.064426419
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr10:18024675-38818835",7257.38134765625,8429.44607216121,50851.1979978552
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr11:69774695-87688378",6294.93994140625,1712.76173250378,167453.91931244
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr4:75452279-190000000",12942.048828125,49294.5157760976,166661.476962898
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr10:18024675-38818835",3555.78979492188,31789.6999522147,116216.380629277
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr11:69774695-87688378",6188.5927734375,2356.42287665606,189482.192945621
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr4:75452279-190000000",14121.1298828125,20202.0725871324,142431.755965712
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr10:18024675-38818835",5848.8134765625,8653.88158318398,35059.6700848653
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr11:69774695-87688378",13756.28515625,2557.47048371037,14832.6876600087
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr1:521368-2634220",52151.8828125,6557.53428092974,21359.5458391383
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr4:75452279-190000000",12092.3427734375,6907.47617891434,96814.8757495871
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr10:18024675-38818835",5500.60693359375,2783.48051585258,48044.3628379947
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr11:69774695-87688378",7989.1513671875,1691.75476065279,15544.5053986609
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr1:521368-2634220",50056.87890625,5278.8039004728,12279.0327605307
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr4:75452279-190000000",11873.80078125,10705.7944263816,150622.786428696
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr10:18024675-38818835",12971.8779296875,4568.07347813247,31242.3338329804
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr11:69774695-87688378",10257.080078125,7465.0401952267,13655.5266676545
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr1:521368-2634220",52151.8828125,7076.08609329164,17487.4975015819
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr4:75452279-190000000",11913.4091796875,10548.2664021254,117498.233772997
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr10:18024675-38818835",484739.90625,6446.57696908713,13456.768866092
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr11:69774695-87688378",115129.890625,8566.36013531688,31539.6624957626
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr1:521368-2634220",52448.953125,350970.319668445,Inf
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr4:75452279-190000000",70766.2265625,9027.5234757662,54872.2501055021
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr10:18024675-38818835",15444.0849609375,4809.3426014483,45477.3440109203
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr11:69774695-87688378",9178.0400390625,4021.73103919627,100573.41277885
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr1:521368-2634220",52151.8828125,6081.77953017506,22054.6182159033
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr4:75452279-190000000",11526.25390625,10645.6168442964,128389.041262626
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr10:18024675-38818835",17697.310546875,5230.62760198118,59891.1808909019
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr11:69774695-87688378",6013.4599609375,1697.06002375483,158765.194325989
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr1:521368-2634220",60750.2421875,9379.4134031832,50314.253337399
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr4:75452279-190000000",10601.564453125,30470.4729928982,158794.423638225
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr10:18024675-38818835",5595.93115234375,3751.43707028033,65194.5971245325
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr11:69774695-87688378",9711.80078125,2175.37779098749,128958.876663896
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr1:521368-2634220",42820.08203125,5597.09120242299,31841.3914630696
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr4:75452279-190000000",11170.9892578125,15326.5660828352,101505.484063026
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr10:18024675-38818835",4192.24609375,14755.4797408284,88905.1269406102
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr11:69774695-87688378",6808.51708984375,2824.85901364685,204406.448980296
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr1:521368-2634220",42820.08203125,10278.3438798637,86546.8306792641
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr4:75452279-190000000",12751.2958984375,19035.0846983791,111819.082524954
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chr10:18024675-38818835",7613.5947265625,5847.39617486301,139565.898236568
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chr11:69774695-87688378",6127.048828125,2502.09365525841,21955.5898115039
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chr4:75452279-190000000",13708.169921875,34375.6106940515,316963.556619151
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chr10:18024675-38818835",5832.3037109375,5438.63773578408,96283.3600849196
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chr11:69774695-87688378",5623.0859375,3530.34265014528,20523.2442016602
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chr4:75452279-190000000",10227.7763671875,40604.6476327759,250192.139974384
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chr10:18024675-38818835",5377.21435546875,14417.6487909258,135960.73279628
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chr11:69774695-87688378",6019.6220703125,7728.14760693906,234015.761739099
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chr4:75452279-190000000",16935.4375,60009.4001997735,235185.754992837
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chr10:18024675-38818835",5988.78173828125,10250.542235611,64025.6033798452
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chr11:69774695-87688378",1305.70642089844,1956.93624992855,25472.4447293062
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chr4:75452279-190000000",19516.8984375,9231.15198351257,59051.0093868403
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chr10:18024675-38818835",3487.24731445312,13845.1625539958,52708.734347912
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chr11:69774695-87688378",5966.7080078125,3340.16187033059,63241.5570563363
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chr4:75452279-190000000",12691.3154296875,9851.73750257489,80693.7820281361
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chr10:18024675-38818835",9474.1337890625,2396.95934622735,4889.5880383104
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chr11:69774695-87688378",2334.169921875,1244.1551220119,3823.62748383731
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chr4:75452279-190000000",8357.8642578125,7006.47441385686,96457.6627889184
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chr10:18024675-38818835",3186.71459960938,3482.77891041338,5178.80583152177
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chr11:69774695-87688378",6280.6201171875,1747.61787431688,20616.120045513
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chr4:75452279-190000000",13377.8056640625,9466.44945526125,49444.5933644152
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chr10:18024675-38818835",8613.2099609375,50496.1599717609,100552.060333745
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chr11:69774695-87688378",8292.791015625,2526.1294825226,43118.1908861864
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chr4:75452279-190000000",11914.681640625,16460.8078068792,75163.4385474808
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr10:18024675-38818835",8652.5634765625,1183.04091284548,9763.39928171039
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr11:69774695-87688378",1899.55163574219,2391.87332964688,7809.38730178032
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr1:521368-2634220",71004.859375,2065.07202050462,8174.18074382097
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr4:75452279-190000000",4212.87890625,7951.49352078513,86342.1418965881
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr10:18024675-38818835",10832.396484375,912.40370264649,2371.6180511117
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr11:69774695-87688378",1751.87585449219,1067.46113675833,6008.5164207667
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr1:521368-2634220",71840.8828125,3703.83110698685,6652.42720872911
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr4:75452279-190000000",18762.810546875,9002.76056388768,165711.91260826
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr10:18024675-38818835",4176.412109375,6959.9246609509,42854.9652969229
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr11:69774695-87688378",6126.93212890625,4965.51660439374,18694.7441889644
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr1:521368-2634220",42820.08203125,4874.67160544545,68337.4084179124
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr4:75452279-190000000",12507.693359375,18379.1887060404,171364.932285545
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr10:18024675-38818835",2398.12060546875,4240.33403132113,65630.7876232569
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr11:69774695-87688378",3098.08642578125,1884.83047641814,10784.0597639531
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr1:521368-2634220",70201.7265625,2150.7126661986,19218.5535847768
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr4:75452279-190000000",12122.36328125,6594.75958353281,178693.902320412
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr10:18024675-38818835",4202.974609375,1853.69707456231,3749.48993048072
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr11:69774695-87688378",7351.00048828125,1856.50833058357,22441.9247938688
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr1:521368-2634220",82607.796875,3625.28749048708,6597.52146390083
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr4:75452279-190000000",12090.451171875,36985.4203793999,168963.785779293
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr10:18024675-38818835",7170.7919921875,3673.86066827179,8683.26058402657
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr11:69774695-87688378",14314.64453125,2809.4574431777,6106.04654866459
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr1:521368-2634220",51448.53125,5748.35760365427,9001.64544764163
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr4:75452279-190000000",22012.689453125,47240.0681819901,155760.17937041
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr10:18024675-38818835",2519.10229492188,21878.1626434624,56034.5520198842
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr11:69774695-87688378",9255.4248046875,3205.1101451069,19245.3451597244
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr1:521368-2634220",84020.625,4276.95823226869,11399.6910250782
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr4:75452279-190000000",11513.4658203125,16007.092253089,86025.5667161074
"ATAC_JV_adipose/samples/Ai/MSC77/problems/chr10:18024675-38818835",5410.3720703125,7813.8614138365,138783.522773302
"ATAC_JV_adipose/samples/Ai/MSC77/problems/chr11:69774695-87688378",5468.0224609375,7319.02235579495,25789.9589712325
"ATAC_JV_adipose/samples/Ai/MSC77/problems/chr4:75452279-190000000",25379.400390625,10265.9894225001,12045.1558709144
"ATAC_JV_adipose/samples/Ai/MSC80/problems/chr10:18024675-38818835",3438.24169921875,34866.8096380838,77304.561212577
"ATAC_JV_adipose/samples/Ai/MSC80/problems/chr11:69774695-87688378",4714.2421875,3001.96613371373,12381.7202619016
"ATAC_JV_adipose/samples/Ai/MSC80/problems/chr4:75452279-190000000",13893.931640625,6878.7021602541,124457.371200506
"ATAC_JV_adipose/samples/Ai/MSC83/problems/chr10:18024675-38818835",2100.46337890625,1321.80619777367,3657.494775109
"ATAC_JV_adipose/samples/Ai/MSC83/problems/chr11:69774695-87688378",8998.6669921875,6055.94857004658,20232.2171360255
"ATAC_JV_adipose/samples/Ai/MSC83/problems/chr4:75452279-190000000",6340.60986328125,4366.54132388533,48703.3135319589
"ATAC_JV_adipose/samples/Ai/MSC91/problems/chr10:18024675-38818835",2680.71899414062,6684.65729897468,9480.94035267828
"ATAC_JV_adipose/samples/Ai/MSC91/problems/chr11:69774695-87688378",6714.13134765625,5139.7217440009,61686.8426405758
"ATAC_JV_adipose/samples/Ai/MSC91/problems/chr4:75452279-190000000",7784.83056640625,11114.922246933,44186.6202403156
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr10:18024675-38818835",3003.98266601562,4698.47408293931,97286.8629518083
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr11:69774695-87688378",4836.5146484375,1107.90019991994,66813.3281387003
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr1:521368-2634220",71840.8828125,2326.05432578922,57487.2135749774
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr4:75452279-190000000",7932.99951171875,20754.7740390302,187505.592658993
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr10:18024675-38818835",4291.98974609375,6941.78612624851,49312.4807618695
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr11:69774695-87688378",5458.4150390625,2467.52580397576,72541.3640446119
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr1:521368-2634220",94342.1484375,3311.74414415657,55368.6973776457
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr4:75452279-190000000",7450.671875,63369.4568088853,178017.415708965
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr10:18024675-38818835",11603.5458984375,4072.56548289957,84359.3266134122
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr11:69774695-87688378",7133.30517578125,3587.1275999844,113769.571318956
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr1:521368-2634220",84020.625,7312.90487878023,43277.3852181436
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr4:75452279-190000000",16180.169921875,71670.5714056177,267098.141264792
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chr10:18024675-38818835",2013.20141601562,10334.5465439781,72093.9916728313
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chr11:69774695-87688378",2144.95556640625,1857.41901561618,106370.183186422
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chr1:521368-2634220",72001.5234375,3206.02554503827,39663.9543642948
