sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,0,4,8,14,383,9.47225569583503,8.0372077646836,7157379,486029,0,1.6094379124341,2.19722457733622,2.70805020110221,5.95064255258773,2.34872944540605,2.2013502511041,15.7836545501834,13.0940256293726,-Inf,1.38629436111989,2.07944154167984,2.63905732961526,5.94803498918065,2.24836707269231,2.08408172992091,15.7836544104675,13.0940235718843,,0.326634259978281,0.732099368086445,0.970421781277365,1.78306091109248,0.810204207265513,0.73432834093446,2.75897487355331,2.57215591022228
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:75452279-190000000,0,4,8,15,344,10.1537942863132,8.17921834949701,114547721,8161018,0,1.6094379124341,2.19722457733622,2.77258872223978,5.84354441703136,2.41177973475562,2.21694205389356,18.5565020801536,15.9148795965947,-Inf,1.38629436111989,2.07944154167984,2.70805020110221,5.8406416573734,2.31784745694566,2.10159658975265,18.5565020714236,15.914879474061,,0.326634259978281,0.732099368086445,0.996228892951395,1.76484066364247,0.840638934704516,0.742697336696904,2.92082024361678,2.76725448760208
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr5:100000-17500000,0,4,8,15,137,10.3217063793103,8.19217448715681,17400000,1249433,0,1.6094379124341,2.19722457733622,2.77258872223978,4.92725368515721,2.42672180163663,2.21835252286812,16.671980821656,14.0382012067336,-Inf,1.38629436111989,2.07944154167984,2.70805020110221,4.91998092582813,2.33424909321753,2.10317936777207,16.6719807641848,14.0382004063709,,0.326634259978281,0.732099368086445,0.996228892951395,1.5933046536325,0.847690251913378,0.743450184463429,2.81372951179059,2.64178221419799
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr6:62178589-95680543,0,4,9,15,95,10.7806915381712,8.49862355267522,33501954,2494810,0,1.6094379124341,2.30258509299405,2.77258872223978,4.56434819146784,2.4664618809292,2.25114689891696,17.3271143533015,14.7297235327955,-Inf,1.38629436111989,2.19722457733622,2.70805020110221,4.55387689160054,2.37775671353196,2.139904215404,17.3271143234525,14.7297231319634,,0.326634259978281,0.787195008176644,0.996228892951395,1.51597893425036,0.866157485857379,0.76076106887503,2.85227257650154,2.68986743409717
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr7:62500000-74715724,0,0,8,15,259,10.0886435384427,10.7392055517593,12215724,853875,0,0,2.19722457733622,2.77258872223978,5.56068163101553,2.40592147994468,2.46293414190233,16.3182346141668,13.6575412631651,-Inf,-Inf,2.07944154167984,2.70805020110221,5.55682806169954,2.3114103890985,2.3739011153726,16.3182345323051,13.6575400920342,,,0.732099368086445,0.996228892951395,1.71502745296964,0.837857896270267,0.864534642149193,2.7922831655167,2.61429175681586
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr8:48135599-86500000,0,4,8,15,807,10.0730394304866,8.42854455314984,38364401,2709585,0,1.6094379124341,2.19722457733622,2.77258872223978,6.69456205852109,2.40451327366751,2.24374174254355,17.4626405563487,14.8123064136581,-Inf,1.38629436111989,2.07944154167984,2.70805020110221,6.69332366826995,2.30986249142589,2.13162410623598,17.4626405302829,14.8123060445979,,0.326634259978281,0.732099368086445,0.996228892951395,1.9011105621708,0.837187995240609,0.756884180363212,2.86006377209732,2.69545832477404
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr4:68270000-75427379,0,3,9,14,334,9.68725967983531,8.04101545747979,7157379,435588,0,1.38629436111989,2.30258509299405,2.70805020110221,5.81413053182507,2.36905234791278,2.20177149746285,15.7836545501834,12.9844544171968,-Inf,1.09861228866811,2.19722457733622,2.63905732961526,5.8111409929767,2.27081158712895,2.08455537589718,15.7836544104675,12.9844521214521,,0.0940478276166991,0.787195008176644,0.970421781277365,1.75977693591628,0.820137294965214,0.734555583539793,2.75897487355331,2.56375265103642
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr4:75452279-190000000,0,4,9,14,300,10.1682217056069,8.09637447375989,114547721,7186809,0,1.6094379124341,2.30258509299405,2.70805020110221,5.70711026474888,2.41307239768605,2.20787592465973,18.5565020801536,15.7877579594794,-Inf,1.38629436111989,2.19722457733622,2.63905732961526,5.7037824746562,2.31926733789874,2.09141636564537,18.5565020714236,15.7877578203356,,0.326634259978281,0.787195008176644,0.970421781277365,1.74112954680561,0.841251333172215,0.737841523362295,2.92082024361678,2.75923481820586
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr5:100000-17500000,0,4,10,15,81,10.5037382183908,8.07081107315007,17400000,1112757,0,1.6094379124341,2.39789527279837,2.77258872223978,4.40671924726425,2.44267204501661,2.20506168385005,16.671980821656,13.9223521762479,-Inf,1.38629436111989,2.30258509299405,2.70805020110221,4.39444915467244,2.35173121460224,2.08825398195899,16.6719807641848,13.9223512775795,,0.326634259978281,0.834032445247956,0.996228892951395,1.48034218873659,0.855151744000128,0.736328301492233,2.81372951179059,2.63349555426119
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr6:62178589-95680543,0,4,10,16,84,10.6823013069626,8.27032115219451,33501954,2178684,0,1.6094379124341,2.39789527279837,2.83321334405622,4.44265125649032,2.45807498769798,2.22681802322734,17.3271143533015,14.5942320417511,-Inf,1.38629436111989,2.30258509299405,2.77258872223978,4.43081679884331,2.36858828849998,2.11267334167876,17.3271143234525,14.5942315827586,,0.326634259978281,0.834032445247956,1.01978144053823,1.48858394603273,0.862294118811051,0.747954132115396,2.85227257650154,2.68062635357155
