"","predict","y.lower","y.upper"
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr1:206482221-223747846",12685.6408029776,1851.62434974312,14457.5908959508
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr3:60000-66170270",13911.5564214433,5815.05136060714,25625.9280322779
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr1:206482221-223747846",11640.2925125068,1728.24316185713,16316.0301143825
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr3:60000-66170270",9375.74870920039,4362.17331439256,35488.0022932881
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr1:206482221-223747846",15630.6601280099,1972.70230975748,22439.2514795209
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr3:60000-66170270",12238.344735382,7027.64789426328,33617.7008156765
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr1:206482221-223747846",14660.3645357167,1143.49338498712,6478.23583570123
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr22:20700000-50364777",16069.9111130928,5753.41277921203,9314.48905694487
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr3:60000-66170270",13387.9999602737,4627.28124481441,11351.6629081964
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr1:206482221-223747846",14129.569304098,853.597045265143,4596.45844042301
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr22:20700000-50364777",13635.8461842649,2254.11069864035,6128.08978015182
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr3:60000-66170270",12027.2530385125,3911.84603661298,13267.7926518917
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr1:206482221-223747846",13409.6409655293,1414.62537926436,8072.35754081608
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr22:20700000-50364777",22164.5060482976,4114.39441132546,5025.93989217283
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr3:60000-66170270",13703.7670336313,3047.18445703386,11860.9764765501
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr1:206482221-223747846",24378.5596451656,674129.739822147,Inf
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr22:20700000-50364777",34155.7780545512,14303.4849610329,27152.439865827
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr3:60000-66170270",23715.1627935921,5398.47258055209,6530.52929985525
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr1:206482221-223747846",13331.2738277068,2632.70887184144,4655.74126309155
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr22:20700000-50364777",26128.1169497897,3567.99906290531,13043.4502084851
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr3:60000-66170270",15662.840911739,5396.75329566004,9430.5977965593
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr1:206482221-223747846",13084.8332482285,1397.98839046061,17034.1070631147
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr22:20700000-50364777",20065.4002899694,10995.5308030247,24100.5606817011
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr3:60000-66170270",11777.2439844386,4873.7241578698,27138.7491453289
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr1:206482221-223747846",13408.2539156789,1875.12300944328,5497.25095337628
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr22:20700000-50364777",15263.5832349889,7245.44842433929,16561.7035666704
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr3:60000-66170270",11299.5846144443,4092.78820830586,12685.0941283107
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr1:206482221-223747846",12442.956975899,1424.74497696757,21500.7773768901
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr22:20700000-50364777",16743.9928015889,6713.39975976944,32288.2997263672
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr3:60000-66170270",12305.5750569391,5992.00962483883,30860.2602159977
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chr1:206482221-223747846",13606.4698805595,2606.21700929104,15733.8102342487
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chr3:60000-66170270",11079.4264688224,5064.86578583716,37614.7138958866
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chr1:206482221-223747846",11970.1574950075,2506.00913226605,14984.4853616953
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chr3:60000-66170270",11372.8452884652,4939.66865253449,48511.6921532728
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chr1:206482221-223747846",12633.8897851744,3985.45049005747,24376.6746591923
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chr3:60000-66170270",12043.0013136167,6761.50410771369,50977.38393456
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chr1:206482221-223747846",6622.86423375704,1882.88074893504,3150.53604780137
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chr3:60000-66170270",4850.80192846084,3744.13380974159,20742.6675221585
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chr1:206482221-223747846",14795.865464482,549.1429041028,1002.01265370846
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chr3:60000-66170270",13348.5906317309,4757.07844793796,24045.9818829291
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chr1:206482221-223747846",15798.1477856317,678.433954298496,4199.29237079621
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chr3:60000-66170270",10539.1161556827,1109.1693238914,4995.96602100136
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chr1:206482221-223747846",14217.8923902282,720.712041974067,5861.85720414668
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chr3:60000-66170270",14261.5336160866,3140.89731681348,26039.8007368753
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chr1:206482221-223747846",19175.8465180087,778.147247731684,19891.0235373974
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chr3:60000-66170270",17422.7914303671,4397.95169001817,17006.5108237863
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr1:206482221-223747846",12281.0934982277,833.813007577014,1093.3309567906
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr22:20700000-50364777",10638.4949664869,4066.79315678775,9763.34781415762
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr3:60000-66170270",13661.5260701608,1660.95584303141,9440.05961956086
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr1:206482221-223747846",13840.901834117,575.39800149575,1691.47403232754
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr22:20700000-50364777",15278.2228366461,3483.4540169835,5242.93234854937
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr3:60000-66170270",13940.3251499663,2074.883673653,26072.9101647293
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr1:206482221-223747846",15369.5471061645,967.051718980077,1255.13851115107
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr22:20700000-50364777",16981.1276982353,15109.8387570381,20489.763468504
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr3:60000-66170270",16016.320281097,5892.4528461695,7848.45931398869
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr1:206482221-223747846",10838.0679938504,820.516227535905,1515.16268126667
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr22:20700000-50364777",11346.4674030709,907.837814450262,1998.51174855231
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr3:60000-66170270",9885.83947517402,3487.46876981856,14891.2470614017
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr1:206482221-223747846",16664.1738207763,931.10041452944,17349.7740158737
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr22:20700000-50364777",22977.0148932749,6778.07084637878,30384.4960909475
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr3:60000-66170270",14330.4896560623,5805.06465864182,29104.8961516029
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr1:206482221-223747846",18033.3614762127,1152.68178269267,2435.40950495004
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr22:20700000-50364777",27161.6996222454,1793.59739172459,2019.71620750427
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr3:60000-66170270",13796.3433032349,5582.42478823661,25378.1487883318
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr1:206482221-223747846",15528.0615838095,1078.86884152889,7574.95008198914
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr22:20700000-50364777",12342.1431595852,4080.08654356002,4587.96627110241
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr3:60000-66170270",15232.156716577,3240.32959187032,13511.3722803592
