"","predict","y.lower","y.upper"
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:148734147-148954460",1049816.75,1068796.41572972,5805473.23019587
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149509645-205922707",9254238,1711607.07529834,Inf
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr8:7524649-12091854",40208072704,42428796.4823414,Inf
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr9:10000-39663686",54896734208,256025.771665572,4549183.15359695
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:148734147-148954460",1292469.625,7169259.31620182,134218507.242752
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:149509645-205922707",29865470,318442.801025394,Inf
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr8:7524649-12091854",149548816,217821335.242519,Inf
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr9:10000-39663686",420919488,232996.218095145,5658522.0925409
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:148734147-148954460",3182109.5,4517123.04840416,42495005.1683203
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:149509645-205922707",1267888768,395358.108955364,Inf
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr8:7524649-12091854",10417882112,56728188.7214037,Inf
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr9:10000-39663686",36160651264,170523.55131722,2770044.81912818
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:148734147-148954460",3933827.5,1523171.14894199,87801041.1638382
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:149509645-205922707",4162247.25,740109.722001425,Inf
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr8:7524649-12091854",536829216,16540424.4340253,Inf
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr9:10000-39663686",117745205248,298724.392425527,Inf
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:148734147-148954460",1292469.625,8385355.24589221,38813861.4386774
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:149509645-205922707",19548372,256067.651084894,Inf
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr8:7524649-12091854",387283,47501111.612768,Inf
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr9:10000-39663686",39079540,675202.483970648,Inf
