"","predict","y.lower","y.upper"
"H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540",25157.171875,2933214.63503646,Inf
"H3K27me3_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr14:19050000-107289540",89945.703125,53940.7635664558,139253.720403865
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr14:19050000-107289540",53297.5703125,184442.489884221,635883.627503405
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr4:9324642-31820917",134529.375,30681.1601863848,59545.8593897001
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr14:19050000-107289540",565995.6875,255356.598045526,272375.827969147
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr4:9324642-31820917",2100047,291327.13313311,Inf
"H3K27me3_TDH_some/samples/ips/MS032901/problems/chr14:19050000-107289540",13913.529296875,30839.8834647801,62151.3214385503
"H3K27me3_TDH_some/samples/ips/MS032901/problems/chr4:9324642-31820917",38883.4921875,11203.5957873557,22443.3674482288
"H3K27me3_TDH_some/samples/ips/MS033001/problems/chr14:19050000-107289540",24304.9296875,19530.8613792434,97376.077286028
"H3K27me3_TDH_some/samples/ips/MS033001/problems/chr4:9324642-31820917",48444.84765625,8384.81363650221,17299.3409079164
"H3K27me3_TDH_some/samples/ips/MS033101/problems/chr14:19050000-107289540",22758.888671875,86085.4986785344,308441.776020123
"H3K27me3_TDH_some/samples/ips/MS033101/problems/chr4:9324642-31820917",108202.8046875,35606.3259414397,50059.5887849871
