sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,-Inf,0.980648372579865,3,3,3,0,6,3
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,0.980648372579865,4.39506425108418,3,3,3,0,6,3
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,4.39506425108418,6.20042229229287,3,3,3,0,6,3
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,6.20042229229287,6.85196850128966,3,2,3,0,6,2
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,6.85196850128966,6.98497893452491,3,1,3,0,6,1
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,6.98497893452491,6.99598254313578,3,1,3,0,6,1
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,6.99598254313578,7.00175221804496,3,1,3,0,6,1
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,7.00175221804496,7.00511166307252,3,1,3,0,6,1
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,7.00511166307252,7.00659072428005,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,7.00659072428005,7.02595656080837,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,7.02595656080837,7.07215464370832,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,7.07215464370832,7.19913723632413,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,7.19913723632413,7.62821578643842,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,7.62821578643842,8.34994811728556,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,8.34994811728556,8.97208833123307,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,8.97208833123307,9.11752038226733,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,9.11752038226733,9.15543212674527,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,9.15543212674527,9.19421698669396,3,0,3,0,6,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,9.19421698669396,9.29612037653141,3,0,3,1,6,1
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,9.29612037653141,9.6974362674234,3,0,3,1,6,1
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,9.6974362674234,11.2322524550572,3,0,3,1,6,1
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr10:133727527-135524747,11.2322524550572,Inf,3,0,3,3,6,3
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,-Inf,0.260320007504407,3,3,3,0,4,3
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,0.260320007504407,3.81620284830099,3,3,3,0,4,3
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,3.81620284830099,5.9720090535584,3,3,3,0,4,3
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,5.9720090535584,7.3529433318879,3,3,3,0,4,3
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,7.3529433318879,8.39617803665589,3,2,3,0,4,2
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,8.39617803665589,8.5929708912079,3,1,3,0,4,1
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,8.5929708912079,8.59398807784189,3,0,3,0,4,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,8.59398807784189,8.60337268976587,3,0,3,0,4,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,8.60337268976587,8.6171136036279,3,0,3,0,4,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,8.6171136036279,8.69726482488403,3,0,3,0,4,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,8.69726482488403,8.78971032328653,3,0,3,0,4,0
H3K4me3_PGP_immune/samples/bcell/McGill0091/problems/chr1:144810724-145833118,8.78971032328653,9.01597775024283,3,0,3,0,4,0
