"","predict","y.lower","y.upper"
"CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr4:75452279-190000000",150904.468280643,8826.57471637978,104914.453657736
"CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr4:75452279-190000000",1322566.64652677,19047.4889839356,415330.567363164
"CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr4:75452279-190000000",310070.840678734,62296.9234044527,385596.039245678
"CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr4:75452279-190000000",82606.1740471138,26515.7334264122,227615.08327084
"CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr4:75452279-190000000",294780.952149614,16872.9163742727,285550.498544177
"CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr4:75452279-190000000",53194.8313297037,10998.1107716686,40999.2912929811
"CTCF_TDH_ENCODE/samples/HMEC/HMEC_CTCF_Sg__Broad_/problems/chr4:75452279-190000000",103889.522225464,29356.8662007507,88690.3793837719
"CTCF_TDH_ENCODE/samples/HMEC/HMEC_CTCF_Sg__UW_/problems/chr4:75452279-190000000",456132.167139266,17254.2276052866,128373.181294622
"CTCF_TDH_ENCODE/samples/HUVEC/HUVEC_CTCF_Sg__Broad_/problems/chr4:75452279-190000000",174225.84607999,21050.6860915042,105596.3219892
"CTCF_TDH_ENCODE/samples/HUVEC/HUVEC_CTCF_Sg__UTA_/problems/chr4:75452279-190000000",185484.549276499,21679.2174842007,224338.542423064
"CTCF_TDH_ENCODE/samples/HUVEC/HUVEC_CTCF_Sg__UW_/problems/chr4:75452279-190000000",56481.804387055,33460.7962055373,249363.801661517
"CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr4:75452279-190000000",756953.062912699,8144.698607702,40384.4670072789
"CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr4:75452279-190000000",1687565.24801375,12093.2887385116,38287.8564145967
"CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr4:75452279-190000000",636737.57439814,21528.3248512146,49547.4992865902
"CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr4:75452279-190000000",162098.074509853,16460.8707203061,69247.7934497212
"CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr4:75452279-190000000",29320.6084726734,17818.3969844628,18857.5489215517
"CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr4:75452279-190000000",135585.333199234,22742.5850640179,193462.831939177
"CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UW_/problems/chr4:75452279-190000000",84813.525389247,44969.6047260163,155368.615956836
"CTCF_TDH_ENCODE/samples/Input/MS009101/problems/chr4:75452279-190000000",2734631.99804574,1523106.41286827,Inf
"CTCF_TDH_ENCODE/samples/Input/MS010302/problems/chr4:75452279-190000000",2816537947.69381,406360.266082388,Inf
"CTCF_TDH_ENCODE/samples/Input/MS012702/problems/chr4:75452279-190000000",910174.708754435,1885836.90166958,Inf
"CTCF_TDH_ENCODE/samples/Input/MS026601/problems/chr4:75452279-190000000",878627071031.118,64007.0043933894,Inf
"CTCF_TDH_ENCODE/samples/Input/MS026701/problems/chr4:75452279-190000000",9309556011.42523,1211696.8856689,Inf
"CTCF_TDH_ENCODE/samples/K562/K562_CTCF_Sg__Broad_/problems/chr4:75452279-190000000",427329.312235404,10341.4452497684,29105.3827418282
"CTCF_TDH_ENCODE/samples/K562/K562_CTCF_Sg__UTA_/problems/chr4:75452279-190000000",364089.990403519,12885.2840904977,120628.796292382
"CTCF_TDH_ENCODE/samples/K562/K562_CTCF_Sg__UW_/problems/chr4:75452279-190000000",94152.9543285295,12478.8850875596,44924.0515690562
