"","predict","y.lower","y.upper"
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:148734147-148954460",1195546.5,1068796.41572972,5805473.23019587
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149509645-205922707",27071620,1711607.07529834,Inf
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr8:7524649-12091854",725143616,42428796.4823414,Inf
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr9:10000-39663686",1062004928,256025.771665572,4549183.15359695
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:148734147-148954460",1107939.625,7169259.31620182,134218507.242752
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:149509645-205922707",10509452,318442.801025394,Inf
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr8:7524649-12091854",97379928,217821335.242519,Inf
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr9:10000-39663686",128253760,232996.218095145,5658522.0925409
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:148734147-148954460",1147889.875,4517123.04840416,42495005.1683203
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:149509645-205922707",450845728,395358.108955364,Inf
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr8:7524649-12091854",505640288,56728188.7214037,Inf
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr9:10000-39663686",2472374016,170523.55131722,2770044.81912818
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:148734147-148954460",1177040.375,1523171.14894199,87801041.1638382
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:149509645-205922707",57969592,740109.722001425,Inf
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr8:7524649-12091854",542033280,16540424.4340253,Inf
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr9:10000-39663686",1194725376,298724.392425527,Inf
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:148734147-148954460",1029099.1875,8385355.24589221,38813861.4386774
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:149509645-205922707",28766242,256067.651084894,Inf
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr8:7524649-12091854",3209698.5,47501111.612768,Inf
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr9:10000-39663686",90952640,675202.483970648,Inf
"H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr1:148734147-148954460",1527803.625,844376.45808287,19239829.2758039
