"","predict","y.lower","y.upper"
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645",15.6109045304003,13.5438796764795,14.6777437647678
"H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr4:9324642-31820917",16.0981574119733,14.3951963983481,18.2659999858208
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr15:77912000-82829645",15.995111705055,14.2594193861757,17.4460953268493
"H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr4:9324642-31820917",15.9646341060396,14.6343187454802,20.0029764930269
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr15:77912000-82829645",15.4983008655761,13.7767107658958,16.6129556839137
"H3K27me3_RL_cancer/samples/BT245/p6/problems/chr4:9324642-31820917",15.3980152991908,15.206162884622,15.6985504363112
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr15:77912000-82829645",16.1674343595013,13.1832159660865,16.5673569574297
"H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr4:9324642-31820917",15.7530332650718,17.7100186230594,18.1886744221827
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr15:77912000-82829645",16.6222094201461,14.7479330556412,17.616018041919
"H3K27me3_RL_cancer/samples/BT416/p8/problems/chr4:9324642-31820917",16.1664550796477,18.1740617617377,19.8737473379841
"H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr15:77912000-82829645",14.6065386288668,12.4073236078351,15.5316664910036
"H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr4:9324642-31820917",14.7199305374964,13.9400100019447,18.2284500113791
"H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr15:77912000-82829645",15.9154007833582,13.6193386205549,16.5382405322196
"H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr4:9324642-31820917",16.750237944468,15.3953691162346,18.8715813986518
"H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr15:77912000-82829645",15.5415082348454,12.6472956566913,13.4845243329217
"H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr4:9324642-31820917",16.286391292174,14.8229713689923,18.3825685987236
"H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr15:77912000-82829645",15.8079563931792,12.2468051846204,14.73433228306
"H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr4:9324642-31820917",15.9097308313054,14.1869850207279,20.0715692495702
"H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr15:77912000-82829645",16.3746101127392,13.8806654041609,17.0963726745909
"H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr4:9324642-31820917",16.0454446228043,15.6573846452828,20.0910687530333
"H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr15:77912000-82829645",15.5432436492733,14.9430650054932,Inf
"H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr4:9324642-31820917",14.8934115773891,15.5711219357878,Inf
"H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr15:77912000-82829645",15.4179260591913,14.2427291892513,Inf
"H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr4:9324642-31820917",15.5173968576489,14.9246171238277,Inf
"H3K27me3_RL_cancer/samples/G477/p6/problems/chr15:77912000-82829645",15.9256805442226,16.8035152844275,Inf
"H3K27me3_RL_cancer/samples/G477/p6/problems/chr4:9324642-31820917",15.8555491767641,17.3728656871635,Inf
"H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr15:77912000-82829645",15.3762385937859,14.842405525961,Inf
"H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr4:9324642-31820917",14.7710043194241,13.9896398163014,Inf
"H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr15:77912000-82829645",15.2524060856948,12.8879344801287,Inf
"H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr4:9324642-31820917",14.7526818625966,14.8241541782089,Inf
"H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr15:77912000-82829645",15.8743849410291,16.2133931534103,Inf
"H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr4:9324642-31820917",15.2239645891447,14.3848608655501,14.9093555878041
"H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr15:77912000-82829645",16.5201990420903,17.4684341222233,Inf
"H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr4:9324642-31820917",16.0711821610852,16.0489279234086,16.4432421821676
"H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr15:77912000-82829645",15.9737824591837,15.1672843834715,Inf
"H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr4:9324642-31820917",15.2730750591369,13.7004959255118,15.6370846586107
"H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr15:77912000-82829645",16.1497157470733,16.2888065976939,Inf
"H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr4:9324642-31820917",15.8083732481491,17.0439397220539,17.1675552661758
