"","predict","y.lower","y.upper"
"H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr3:60000-66170270",323777.8125,4898.75767350196,5864.27955423293
"H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr3:60000-66170270",6210241,1929.09626546501,4038.22839111091
"H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr3:60000-66170270",47771.44140625,1355.07842884166,3666.06284651743
"H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr3:60000-66170270",6082332672,1550.95920236409,2520.64325933159
"H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr3:60000-66170270",47121825792,11784.256404832,18483.2496877164
"H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr3:60000-66170270",832493.875,5443.58466120812,58233.0801608485
"H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr3:60000-66170270",10393.3984375,6924.99016223662,11880.9510774501
"H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr3:60000-66170270",32587833344,8953.46891862152,20810.9739784003
"H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr3:60000-66170270",47859524,10363.2775717527,60178.0127177099
"H3K27ac_TDH_some/samples/ips/MS032901/problems/chr3:60000-66170270",8368819.5,3583.68673194946,8430.81272387504
"H3K27ac_TDH_some/samples/ips/MS033001/problems/chr3:60000-66170270",145732.53125,1957.12767868489,2794.32054115086
"H3K27ac_TDH_some/samples/ips/MS033101/problems/chr3:60000-66170270",881130.5,2106.9891230613,4690.89285133781
"H3K27ac_TDH_some/samples/kidney/MS002201/problems/chr3:60000-66170270",35334120,11005.655747056,32820.5214008675
"H3K27ac_TDH_some/samples/kidney/MS002202/problems/chr3:60000-66170270",774585280,1387.64520772732,2351.95566494391
"H3K27ac_TDH_some/samples/kidney/MS040101/problems/chr3:60000-66170270",163846.8125,8106.88290826603,22436.7080703165
"H3K27ac_TDH_some/samples/kidney/MS040102/problems/chr3:60000-66170270",32.1187362670898,9310.40804146229,22720.856163472
"H3K27ac_TDH_some/samples/kidney/MS040201/problems/chr3:60000-66170270",15419.478515625,5259.62340068072,28407.5372888974
"H3K27ac_TDH_some/samples/kidney/MS040301/problems/chr3:60000-66170270",24855.5,9266.99913861606,36739.0970129074
"H3K27ac_TDH_some/samples/kidney/MS040302/problems/chr3:60000-66170270",35972.12109375,1058.80436901748,2102.46930134297
