"","predict","y.lower","y.upper"
"H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835",77005.1015625,53355.1441171896,651273.664990158
"H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835",206205.703125,144409.76003839,512817.222395983
"H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:18024675-38818835",52209.3125,142817.418800589,440270.281530005
"H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr10:18024675-38818835",125499.4921875,254290.062996588,1418133.0397839
"H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr10:18024675-38818835",55723.42578125,185013.983295812,932215.505487267
"H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr10:18024675-38818835",62991.70703125,99820.8651673666,905259.141955271
"H3K36me3_TDH_immune/samples/tcell/McGill0004/problems/chr10:18024675-38818835",152520.859375,130623.702631587,975109.994187223
"H3K36me3_TDH_immune/samples/tcell/McGill0005/problems/chr10:18024675-38818835",78779.5234375,97392.7979887014,685349.766568646
"H3K36me3_TDH_immune/samples/tcell/McGill0007/problems/chr10:18024675-38818835",79587.984375,70950.9607742991,412452.369526827
"H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr10:18024675-38818835",70595.015625,74452.996170618,522084.62559732
"H3K36me3_TDH_immune/samples/tcell/McGill0009/problems/chr10:18024675-38818835",249969.046875,145350.722157815,807654.650888446
"H3K36me3_TDH_immune/samples/tcell/McGill0011/problems/chr10:18024675-38818835",298159.21875,109915.48884031,979324.722946037
"H3K36me3_TDH_immune/samples/tcell/McGill0024/problems/chr10:18024675-38818835",157316.484375,148793.084269889,1006467.5095682
"H3K36me3_TDH_immune/samples/tcell/McGill0025/problems/chr10:18024675-38818835",72023.6328125,48052.1417768728,371089.978929757
"H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr10:18024675-38818835",72023.6328125,68613.3047538127,632003.110273049
"H3K36me3_TDH_immune/samples/tcell/McGill0027/problems/chr10:18024675-38818835",193414.015625,82174.9561174917,605447.200899467
"H3K36me3_TDH_immune/samples/tcell/McGill0028/problems/chr10:18024675-38818835",98219.9453125,50879.7134395842,262693.755995149
"H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr10:18024675-38818835",151927.109375,150909.730124931,975545.621527737
"H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr10:18024675-38818835",226435.078125,50088.1031320672,718598.096946532
"H3K36me3_TDH_immune/samples/tcell/McGill0106/problems/chr10:18024675-38818835",149135.28125,28831.1836477041,1039873.31145309
"H3K36me3_TDH_immune/samples/tcell/McGill0107/problems/chr10:18024675-38818835",160750.984375,53574.6455921013,879152.452686787
