sequenceID,fold
100_chr1,2
100_chr11,2
100_chr17,2
100_chr2,2
100_chr3,2
100_chr4,2
101_chr1,4
101_chr11,4
101_chr17,4
101_chr2,4
101_chr3,4
101_chr4,4
102_chr1,5
102_chr11,5
102_chr17,5
102_chr2,5
102_chr3,5
102_chr4,5
103_chr1,1
103_chr11,1
103_chr17,1
103_chr2,1
103_chr22,1
103_chr3,1
103_chr4,1
103_chrX,1
104_chr1,5
104_chr11,5
104_chr17,5
104_chr2,5
104_chr3,5
104_chr4,5
105_chr1,4
105_chr11,4
105_chr17,4
105_chr2,4
105_chr3,4
105_chr4,4
106_chr1,1
106_chr11,1
106_chr14,1
106_chr16,1
106_chr17,1
106_chr3,1
106_chr4,1
106_chr5,1
106_chr6,1
106_chr8,1
106_chr9,1
107_chr1,3
107_chr11,3
107_chr17,3
107_chr2,3
107_chr3,3
107_chr4,3
108_chr1,1
108_chr11,1
108_chr17,1
108_chr2,1
108_chr3,1
108_chr4,1
109_chr1,3
109_chr11,3
109_chr17,3
109_chr2,3
109_chr3,3
109_chr4,3
109_chr8,3
10_chr1,5
10_chr11,5
10_chr17,5
10_chr2,5
10_chr3,5
10_chr4,5
110_chr1,3
110_chr11,3
110_chr17,3
110_chr2,3
110_chr3,3
110_chr4,3
111_chr1,3
111_chr11,3
111_chr17,3
111_chr2,3
111_chr3,3
111_chr4,3
112_chr1,2
112_chr11,2
112_chr17,2
112_chr2,2
112_chr3,2
112_chr4,2
113_chr1,1
113_chr10,1
113_chr11,1
113_chr13,1
113_chr17,1
113_chr2,1
113_chr3,1
113_chr4,1
113_chr6,1
113_chr7,1
113_chr9,1
114_chr1,1
114_chr11,1
114_chr17,1
114_chr2,1
114_chr3,1
114_chr4,1
115_chr1,1
115_chr11,1
115_chr17,1
115_chr2,1
115_chr3,1
115_chr4,1
116_chr1,1
116_chr11,1
116_chr14,1
116_chr17,1
116_chr2,1
116_chr3,1
116_chr4,1
116_chrX,1
117_chr1,4
117_chr11,4
117_chr17,4
117_chr2,4
117_chr3,4
117_chr4,4
118_chr1,3
118_chr11,3
118_chr17,3
118_chr3,3
118_chr4,3
119_chr1,1
119_chr11,1
119_chr17,1
119_chr2,1
119_chr3,1
119_chr4,1
11_chr1,6
11_chr11,6
11_chr14,6
11_chr16,6
11_chr17,6
11_chr2,6
11_chr21,6
11_chr3,6
11_chr4,6
11_chr7,6
11_chr9,6
120_chr1,6
120_chr11,6
120_chr17,6
120_chr2,6
120_chr3,6
120_chr4,6
121_chr1,6
121_chr11,6
121_chr17,6
121_chr2,6
121_chr3,6
121_chr4,6
122_chr1,4
122_chr11,4
122_chr17,4
122_chr2,4
122_chr3,4
122_chr4,4
123_chr1,4
123_chr11,4
123_chr12,4
123_chr14,4
123_chr16,4
123_chr17,4
123_chr19,4
123_chr2,4
123_chr3,4
123_chr4,4
123_chr7,4
123_chrX,4
124_chr1,2
124_chr11,2
124_chr17,2
124_chr2,2
124_chr3,2
124_chr4,2
125_chr1,1
125_chr11,1
125_chr17,1
125_chr2,1
125_chr3,1
125_chr4,1
126_chr1,1
126_chr11,1
126_chr17,1
126_chr2,1
126_chr3,1
126_chr4,1
127_chr1,6
127_chr11,6
127_chr17,6
127_chr2,6
127_chr3,6
127_chr4,6
128_chr1,4
128_chr11,4
128_chr12,4
