"","predict","y.lower","y.upper"
"H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr8:48135599-86500000",24345.154296875,2689.82980069271,19530.3684896677
"H3K36me3_TDH_ENCODE/samples/aorta/ENCFF654ZIL/problems/chr8:48135599-86500000",28759.06640625,5170.67142988928,36449.9856023621
"H3K36me3_TDH_ENCODE/samples/aorta/ENCFF717XWS/problems/chr8:48135599-86500000",28621.876953125,4950.255355604,63198.0236244409
"H3K36me3_TDH_ENCODE/samples/colon/ENCFF161KDY/problems/chr8:48135599-86500000",27104.748046875,5326.16137330232,32703.9572098241
"H3K36me3_TDH_ENCODE/samples/colon/ENCFF496CCH/problems/chr8:48135599-86500000",24660.05078125,6333.43380577119,9790.45656435188
"H3K36me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BLH/problems/chr8:48135599-86500000",78132.765625,5880.46200884133,61629.190966638
"H3K36me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BLL/problems/chr8:48135599-86500000",69820.8828125,3811.40817682818,18283.0527529158
"H3K36me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF060PYR/problems/chr8:48135599-86500000",24675.8125,3936.90711167829,15281.3824124076
"H3K36me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF430SDF/problems/chr8:48135599-86500000",11721.0380859375,3585.56788166425,40376.3667529111
"H3K36me3_TDH_ENCODE/samples/thyroid/ENCFF119YYL/problems/chr8:48135599-86500000",68754.40625,35232.5294055829,Inf
"H3K36me3_TDH_ENCODE/samples/thyroid/ENCFF182JRL/problems/chr8:48135599-86500000",45906.30859375,6579.06060730758,35247.3196360426
"H3K36me3_TDH_ENCODE/samples/thyroid/ENCFF537UNT/problems/chr8:48135599-86500000",43868.15234375,5413.25796236844,40915.9101643112
"H3K36me3_TDH_ENCODE/samples/thyroid/ENCFF997UHI/problems/chr8:48135599-86500000",16126.40625,3083.49847351387,12289.551203575
