"","predict","y.lower","y.upper"
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876",3597.896484375,23835.1587429055,222287.271916111
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chr16:46510000-88389383",6603.9013671875,965.473250269893,Inf
"ATAC_JV_adipose/samples/AC1/MSC77/problems/chrX:37148256-49242997",2760.27270507812,16874.5492982492,65657.9856898472
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr12:145739-7189876",2661.50415039062,17320.8576950133,179181.408812397
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chr16:46510000-88389383",9526.41015625,1269.18839273851,11020.885500729
"ATAC_JV_adipose/samples/AC1/MSC80/problems/chrX:37148256-49242997",2487.39721679688,9188.98266912436,56064.3500941448
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr12:145739-7189876",7477.8076171875,66532.5135423424,114676.66484445
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr16:46510000-88389383",9766.861328125,1696.74534893035,27771.9946875567
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chrX:37148256-49242997",2860.59130859375,8190.19506180286,106487.395144154
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr12:145739-7189876",3143.982421875,22869.6309747699,323826.577090217
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr16:46510000-88389383",10088.3369140625,4960.33713603019,30276.3450334668
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chrX:37148256-49242997",2835.61083984375,14900.0087238549,80413.2334922558
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr12:145739-7189876",3963.8583984375,20618.140016526,140121.476791548
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr16:46510000-88389383",6821.24267578125,3445.75108528139,Inf
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr6:60000-58087659",6368.38916015625,10996.5253848433,28374.9328250874
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chrX:37148256-49242997",1919.79602050781,4943.56055012347,40679.7590965929
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr12:145739-7189876",3350.3603515625,16084.4017213582,131099.568560103
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr16:46510000-88389383",7304.375,4376.28737556935,13717.3231616616
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr6:60000-58087659",7141.22802734375,8253.39427024125,21007.1426489949
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chrX:37148256-49242997",4841.6279296875,3589.8235143572,49175.619742855
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr12:145739-7189876",14321.3623046875,24865.4501720961,122467.527236117
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr16:46510000-88389383",6909.8681640625,246.982036590577,852.856922090056
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr6:60000-58087659",6270.0869140625,5254.76989316942,21163.851490736
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chrX:37148256-49242997",2985.98266601562,4730.88637001314,52937.0813865683
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr12:145739-7189876",20122.916015625,22585.9435629706,57249.9197941409
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr16:46510000-88389383",77775.4765625,808282.017999767,Inf
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr6:60000-58087659",17640.794921875,24934.1613097202,54259.6937756542
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chrX:37148256-49242997",36120.90234375,8801.95464485882,21259.982181102
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr12:145739-7189876",3364.904296875,16083.2599768341,129277.668245008
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr16:46510000-88389383",6958.02197265625,5059.44926691056,8905.97958207128
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chr6:60000-58087659",6443.2490234375,6293.33741158249,9951.03263223175
"ATAC_JV_adipose/samples/AC2/MSC77/problems/chrX:37148256-49242997",2638.29272460938,1926.35836432874,43462.8054865899
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr12:145739-7189876",2581.29663085938,34106.1450670227,283765.049906422
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr16:46510000-88389383",7301.51953125,1174.33575826883,17520.992725134
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chr6:60000-58087659",7926.99462890625,33364.0031213758,66728.9616541885
"ATAC_JV_adipose/samples/AC2/MSC80/problems/chrX:37148256-49242997",2371.54516601562,11819.4257588536,50411.3350640466
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr12:145739-7189876",2801.38330078125,27891.1140880936,205711.877884614
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr16:46510000-88389383",7955.18212890625,1310.28146165609,Inf
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chr6:60000-58087659",7951.60205078125,13165.2821546196,25940.0250304925
"ATAC_JV_adipose/samples/AC2/MSC83/problems/chrX:37148256-49242997",1977.21325683594,7510.77216409892,50075.5374825004
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr12:145739-7189876",4650.5478515625,27015.2112569518,292832.602410919
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr16:46510000-88389383",6910.32958984375,6294.63963627815,14726.3639173507
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chr6:60000-58087659",7506.544921875,47869.4762349141,127606.494378031
"ATAC_JV_adipose/samples/AC2/MSC91/problems/chrX:37148256-49242997",2905.50048828125,12530.7793069631,50962.6109616583
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chr12:145739-7189876",6615.53759765625,13909.0179139822,255133.79796242
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chr16:46510000-88389383",16144.7177734375,1940.08798408508,46896.7571861162
"ATAC_JV_adipose/samples/ACi/MSC77/problems/chrX:37148256-49242997",3331.92407226562,4475.13428833335,107833.104826646
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chr12:145739-7189876",3253.94580078125,26184.6745550181,298960.228404461
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chr16:46510000-88389383",12081.0927734375,1692.47288924455,22756.0650300976
"ATAC_JV_adipose/samples/ACi/MSC80/problems/chrX:37148256-49242997",2588.26538085938,4395.26948221771,64972.0691755052
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chr12:145739-7189876",8589.7978515625,48327.6563166657,400311.761453746
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chr16:46510000-88389383",13065.1181640625,3048.73577368259,56864.7518781406
"ATAC_JV_adipose/samples/ACi/MSC83/problems/chrX:37148256-49242997",3828.11499023438,7738.88690844175,114959.398101284
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chr12:145739-7189876",2071.62158203125,1507.45211764177,2080.99632393476
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chr16:46510000-88389383",8327.9638671875,1729.23788318411,7709.43162788077
"ATAC_JV_adipose/samples/ACi/MSC91/problems/chrX:37148256-49242997",1136.00512695312,5263.75297653863,30431.2837157832
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chr12:145739-7189876",5770.53759765625,140218.824889846,456890.985083737
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chr16:46510000-88389383",12594.400390625,4112.45865511893,62991.5673630805
"ATAC_JV_adipose/samples/AD1/MSC77/problems/chrX:37148256-49242997",2675.46533203125,3911.30585031212,4233.31642071902
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chr12:145739-7189876",3321.19482421875,24858.4514505492,204539.831143688
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chr16:46510000-88389383",9922.4833984375,1880.22972944378,38055.107763126
"ATAC_JV_adipose/samples/AD1/MSC80/problems/chrX:37148256-49242997",1580.20703125,9783.25297977959,48406.7180102255
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chr12:145739-7189876",4116.41796875,63973.0269287673,289540.413107792
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chr16:46510000-88389383",10084.6044921875,3665.95665660501,81279.2057254301
"ATAC_JV_adipose/samples/AD1/MSC83/problems/chrX:37148256-49242997",2645.67504882812,3792.2425668165,74018.3088530505
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chr12:145739-7189876",3573.81469726562,99382.1765132816,330103.86237518
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chr16:46510000-88389383",11749.6435546875,13663.4616075158,61753.9522364737
"ATAC_JV_adipose/samples/AD1/MSC91/problems/chrX:37148256-49242997",3121.62280273438,5270.65611109135,81149.9681250948
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr12:145739-7189876",2987.1904296875,7551.99596124513,13207.7891645059
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr16:46510000-88389383",8517.0205078125,2880.58081658183,24719.3173394361
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chr6:60000-58087659",7944.82568359375,7807.50939266383,8866.59189221263
"ATAC_JV_adipose/samples/AD2/MSC70/problems/chrX:37148256-49242997",2603.3935546875,25436.6302283201,32087.8597417785
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr12:145739-7189876",3019.49829101562,3012.29027492552,30662.7989672426
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr16:46510000-88389383",5827.04443359375,1302.05348177254,39809.432293624
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chr6:60000-58087659",14800.087890625,5800.79014295342,19556.5198195578
"ATAC_JV_adipose/samples/AD2/MSC72/problems/chrX:37148256-49242997",1391.21691894531,6297.73990865797,62179.512472704
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr12:145739-7189876",3849.78125,14664.3912666216,241551.296612079
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr16:46510000-88389383",7145.751953125,4947.08464431766,56645.6706838016
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chr6:60000-58087659",7755.84130859375,14191.0149319768,31841.6893222915
"ATAC_JV_adipose/samples/AD2/MSC73/problems/chrX:37148256-49242997",2748.8271484375,756571.464614062,Inf
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr12:145739-7189876",3167.98828125,8326.88416182999,115454.665264237
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr16:46510000-88389383",10048.69921875,1803.51062670351,28267.6646770523
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chr6:60000-58087659",8498.6669921875,9848.47023248672,10154.7004790306
"ATAC_JV_adipose/samples/AD2/MSC74/problems/chrX:37148256-49242997",2521.86181640625,22358.4711467391,62341.9858685189
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr12:145739-7189876",3333.55151367188,10663.0743489563,85556.6476795565
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr16:46510000-88389383",10040.69140625,1475.86559844018,38568.4669140591
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chr6:60000-58087659",7731.50048828125,13568.3927803636,42294.133181333
"ATAC_JV_adipose/samples/AD2/MSC80/problems/chrX:37148256-49242997",2802.82641601562,27615.3642565303,107916.214454826
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr12:145739-7189876",4165.544921875,11150.0674499124,75297.3108848642
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr16:46510000-88389383",6558.52392578125,2129.07807409763,60712.916757226
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chr6:60000-58087659",6644.35693359375,19222.1368377208,25125.5565235623
"ATAC_JV_adipose/samples/AD2/MSC83/problems/chrX:37148256-49242997",2996.37768554688,35592.616784708,85979.4057064821
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr12:145739-7189876",3531.4306640625,8481.57711135594,79812.6867725788
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr16:46510000-88389383",10499.478515625,12141.7257511615,22796.8869346972
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chr6:60000-58087659",7858.33349609375,34747.478205801,41785.8853579181
"ATAC_JV_adipose/samples/AD2/MSC91/problems/chrX:37148256-49242997",3371.45068359375,18898.4400819169,41783.9412443276
"ATAC_JV_adipose/samples/Ai/MSC77/problems/chr12:145739-7189876",7528.396484375,69986.8408771534,620096.417246507
"ATAC_JV_adipose/samples/Ai/MSC77/problems/chr16:46510000-88389383",13558.00390625,5910.32850134372,19333.6356797219
"ATAC_JV_adipose/samples/Ai/MSC77/problems/chrX:37148256-49242997",3577.49072265625,5904.93637621401,89260.1770077754
"ATAC_JV_adipose/samples/Ai/MSC80/problems/chr12:145739-7189876",3782.95336914062,44689.6297263198,416493.746413471
"ATAC_JV_adipose/samples/Ai/MSC80/problems/chr16:46510000-88389383",12798.0537109375,3533.37954175474,25003.6504656386
"ATAC_JV_adipose/samples/Ai/MSC80/problems/chrX:37148256-49242997",2927.67700195312,2695.19837896527,4284.21565770357
"ATAC_JV_adipose/samples/Ai/MSC83/problems/chr12:145739-7189876",4589.42041015625,36043.764126355,438203.525593209
"ATAC_JV_adipose/samples/Ai/MSC83/problems/chr16:46510000-88389383",11117.04296875,3843.02148398756,15538.770734042
"ATAC_JV_adipose/samples/Ai/MSC83/problems/chrX:37148256-49242997",1795.7890625,2694.73682405427,45575.4428201327
"ATAC_JV_adipose/samples/Ai/MSC91/problems/chr12:145739-7189876",5769.84423828125,84238.2480373948,712043.484827865
"ATAC_JV_adipose/samples/Ai/MSC91/problems/chr16:46510000-88389383",11097.890625,3855.54000240567,38497.4291890853
"ATAC_JV_adipose/samples/Ai/MSC91/problems/chrX:37148256-49242997",2567.50122070312,3077.23174013942,36551.832846686
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr12:145739-7189876",3165.8017578125,19460.4132726491,97252.1765564472
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr16:46510000-88389383",10956.740234375,1145.99093040824,51916.373670786
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chr6:60000-58087659",13780.3662109375,15223.1824686229,17982.3974987864
"ATAC_JV_adipose/samples/ND2/MSC77/problems/chrX:37148256-49242997",2758.70678710938,1540.60171675309,4231.71809446065
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr12:145739-7189876",3295.1103515625,36659.3406634713,120800.960082007
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr16:46510000-88389383",13460.0146484375,2657.67843347787,Inf
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chr6:60000-58087659",13726.7470703125,11132.0798052847,22755.7756533625
"ATAC_JV_adipose/samples/ND2/MSC80/problems/chrX:37148256-49242997",2233.50219726562,3811.6621288024,83942.9682001493
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr12:145739-7189876",3968.5107421875,61419.9330707108,214842.08436113
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr16:46510000-88389383",16425.224609375,2326.89416736365,2482.58496600388
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chr6:60000-58087659",13908.037109375,6303.97111994026,8960.22612673046
"ATAC_JV_adipose/samples/ND2/MSC83/problems/chrX:37148256-49242997",3209.47314453125,3439.35567963123,95948.3408940705
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chr12:145739-7189876",3014.60693359375,12383.3455624059,116449.107276366
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chr16:46510000-88389383",11762.9189453125,1794.61901643873,50558.6837520006
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chr6:60000-58087659",8560.5703125,9550.59085634351,27117.4653821288
"ATAC_JV_adipose/samples/ND2/MSC91/problems/chrX:37148256-49242997",1584.38842773438,3584.02429817432,44400.5801423412
