"","predict","y.lower","y.upper"
"H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000",8.22560702114524,599568.674821299,Inf
"H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:30028082-91800000",12037.0173987703,28775.6097965531,193742.189765375
"H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:13607162-16800000",8.33828779607141,568722.334279425,Inf
"H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:30028082-91800000",11651.8456621489,20834.8044969141,200399.609235462
"H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr1:13607162-16800000",5.88384651775191,4053.74485132628,348435.558111176
"H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr1:30028082-91800000",4113.53642647771,7068.19099196696,135191.397270975
"H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr1:13607162-16800000",2.37769556707328,7880.821996226,Inf
"H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr1:30028082-91800000",14545.3384793665,1780524.71370137,Inf
"H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr1:13607162-16800000",6.23269723125389,13596.8143285199,Inf
"H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr1:30028082-91800000",9435.21314909775,11064.5660379035,Inf
"H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr1:13607162-16800000",8.61963340648903,6466.97326051591,39566.3966908218
"H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr1:30028082-91800000",10458.1023776409,11534.9025109671,51409.2048950452
"H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr1:13607162-16800000",11.2843881657957,2815.80145940931,43575.0079008053
"H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr1:30028082-91800000",20010.7198968299,12161.1331691164,60699.3161463626
"H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr1:13607162-16800000",45.0666575527613,1278226.7359204,Inf
"H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr1:30028082-91800000",20525.345164419,1233196.34548821,Inf
"H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr1:13607162-16800000",19.4596052066176,4582.75894664043,15107.579281861
"H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr1:30028082-91800000",16115.2544349021,47544.3237794511,511106.7365998
"H3K27ac_TDH_some/samples/ips/MS032901/problems/chr1:13607162-16800000",2.14825123526445,4312.60760875956,24407.0410582419
"H3K27ac_TDH_some/samples/ips/MS032901/problems/chr1:30028082-91800000",4279.40571854757,4111.13928920776,40174.613721638
"H3K27ac_TDH_some/samples/ips/MS033001/problems/chr1:13607162-16800000",1.86222771283579,2408.38961142419,7784.77934584857
"H3K27ac_TDH_some/samples/ips/MS033001/problems/chr1:30028082-91800000",3234.36203203534,16217.8459617868,20046.2106827648
"H3K27ac_TDH_some/samples/ips/MS033101/problems/chr1:13607162-16800000",1.64059094363334,1915.97427247675,2077.26913089353
"H3K27ac_TDH_some/samples/ips/MS033101/problems/chr1:30028082-91800000",4574.05491048378,1596.57301277667,20955.4402112439
"H3K27ac_TDH_some/samples/kidney/MS002201/problems/chr1:13607162-16800000",104.814370541293,491429.085774462,657964.983927709
"H3K27ac_TDH_some/samples/kidney/MS002201/problems/chr1:30028082-91800000",67949.9469772783,33113.4505612863,95399.3636377792
"H3K27ac_TDH_some/samples/kidney/MS002202/problems/chr1:13607162-16800000",6.07743280263344,84852.3189608422,Inf
"H3K27ac_TDH_some/samples/kidney/MS002202/problems/chr1:30028082-91800000",6338.36430341093,872974.508527183,Inf
"H3K27ac_TDH_some/samples/kidney/MS040101/problems/chr1:13607162-16800000",2.5215339293614,3379.76589923866,11355.0470238694
"H3K27ac_TDH_some/samples/kidney/MS040101/problems/chr1:30028082-91800000",3270.68299278553,43347.4120358992,73543.0744812808
"H3K27ac_TDH_some/samples/kidney/MS040102/problems/chr1:13607162-16800000",6.84985812756816,23557.004871767,Inf
"H3K27ac_TDH_some/samples/kidney/MS040102/problems/chr1:30028082-91800000",5722.93602918546,12688.503207229,48153.9104046174
"H3K27ac_TDH_some/samples/kidney/MS040201/problems/chr1:13607162-16800000",7.19243720449255,772517.11738382,Inf
"H3K27ac_TDH_some/samples/kidney/MS040201/problems/chr1:30028082-91800000",10973.4468869134,4116.78705704585,6548.69059321285
"H3K27ac_TDH_some/samples/kidney/MS040301/problems/chr1:13607162-16800000",4.73144161942257,4218.69175520667,128791.576515634
"H3K27ac_TDH_some/samples/kidney/MS040301/problems/chr1:30028082-91800000",6400.4180311254,6759.63940633835,73983.8182703799
"H3K27ac_TDH_some/samples/kidney/MS040302/problems/chr1:13607162-16800000",3.79170973803707,2422.28302889481,59556.1641014991
"H3K27ac_TDH_some/samples/kidney/MS040302/problems/chr1:30028082-91800000",6127.58584767347,3496.56409186124,41646.6415810356
